Region,Latitude,Longitude,Radius
Algeria_Adrar,19.1025161,3.2476911,6
Algeria_Adrar,19.0844981,3.4383297,8
Algeria_Adrar,19.1025161,3.6289683,6
Algeria_Adrar,19.1115251,3.771942,5
Algeria_Adrar,19.2286423,3.2797987,8
Algeria_Adrar,19.2466603,3.4515615,10
Algeria_Adrar,19.2466603,3.6424085,10
Algeria_Tamanghasset,19.2466603,3.8332554,10
Algeria_Tamanghasset,19.2466603,4.0241024,10
Algeria_Tamanghasset,19.2466603,4.2149493,10
Algeria_Tamanghasset,19.2646783,4.4057963,8
Algeria_Tamanghasset,19.2826963,4.5966432,6
Algeria_Tamanghasset,19.2917053,4.7397732,5
Algeria_Adrar,19.4268405,3.3216492,5
Algeria_Adrar,19.4268405,3.4649424,10
Algeria_Adrar,19.4268405,3.6560001,10
Algeria_Tamanghasset,19.4268405,3.8470578,10
Algeria_Tamanghasset,19.4268405,4.0381155,10
Algeria_Tamanghasset,19.4268405,4.2291731,10
Algeria_Tamanghasset,19.4268405,4.4202308,10
Algeria_Tamanghasset,19.4268405,4.6112885,10
Algeria_Tamanghasset,19.4268405,4.8023462,10
Algeria_Tamanghasset,19.4268405,4.9934038,10
Algeria_Tamanghasset,19.4268405,5.1844615,10
Algeria_Tamanghasset,19.4448585,5.3755192,8
Algeria_Tamanghasset,19.4628765,5.5665769,6
Algeria_Tamanghasset,19.4808945,5.7003093,4
Algeria_Adrar,19.6070206,3.3063295,8
Algeria_Adrar,19.6070206,3.4784732,10
Algeria_Adrar,19.6070206,3.6697439,10
Algeria_Tamanghasset,19.6070206,3.8610147,10
Algeria_Tamanghasset,19.6070206,4.0522854,10
Algeria_Tamanghasset,19.6070206,4.2435562,10
Algeria_Tamanghasset,19.6070206,4.434827,10
Algeria_Tamanghasset,19.6070206,4.6260977,10
Algeria_Tamanghasset,19.6070206,4.8173685,10
Algeria_Tamanghasset,19.6070206,5.0086392,10
Algeria_Tamanghasset,19.6070206,5.19991,10
Algeria_Tamanghasset,19.6070206,5.3911807,10
Algeria_Tamanghasset,19.6070206,5.5824515,10
Algeria_Tamanghasset,19.6070206,5.7737223,10
Algeria_Tamanghasset,19.6520657,5.964993,5
Algeria_Adrar,19.8052188,3.3198174,8
Algeria_Adrar,19.7872008,3.4921545,10
Algeria_Adrar,19.7872008,3.6836407,10
Algeria_Tamanghasset,19.7872008,3.8751269,10
Algeria_Tamanghasset,19.7872008,4.0666131,10
Algeria_Tamanghasset,19.7872008,4.2580993,10
Algeria_Tamanghasset,19.7872008,4.4495856,10
Algeria_Tamanghasset,19.7872008,4.6410718,10
Algeria_Tamanghasset,19.7872008,4.832558,10
Algeria_Tamanghasset,19.7872008,5.0240442,10
Algeria_Tamanghasset,19.7872008,5.2155304,10
Algeria_Tamanghasset,19.7872008,5.4070166,10
Algeria_Tamanghasset,19.7872008,5.5985028,10
Algeria_Tamanghasset,19.7872008,5.789989,10
Algeria_Tamanghasset,19.7872008,5.9814753,10
Algeria_Tamanghasset,19.8322459,6.1729615,5
Algeria_Adrar,20.012426,2.9308751,5
Algeria_Adrar,19.97639,3.1321643,9
Algeria_Adrar,19.967381,3.3142832,10
Algeria_Adrar,19.967381,3.5059872,10
Algeria_Adrar,19.967381,3.6976913,10
Algeria_Tamanghasset,19.967381,3.8893953,10
Algeria_Tamanghasset,19.967381,4.0810994,10
Algeria_Tamanghasset,19.967381,4.2728034,10
Algeria_Tamanghasset,19.967381,4.4645075,10
Algeria_Tamanghasset,19.967381,4.6562115,10
Algeria_Tamanghasset,19.967381,4.8479156,10
Algeria_Tamanghasset,19.967381,5.0396196,10
Algeria_Tamanghasset,19.967381,5.2313237,10
Algeria_Tamanghasset,19.967381,5.4230277,10
Algeria_Tamanghasset,19.967381,5.6147318,10
Algeria_Tamanghasset,19.967381,5.8064358,10
Algeria_Tamanghasset,19.967381,5.9981399,10
Algeria_Tamanghasset,19.967381,6.1898439,10
Algeria_Tamanghasset,20.012426,6.381548,5
Algeria_Adrar,20.1475612,2.4260037,4
Algeria_Adrar,20.1475612,2.5603507,10
