Region,X coordinate,Y coordinate,Radius
Aysén,-75.6213251,-48.6212069,1
Aysén,-75.6213251,-46.8194051,3
Aysén,-75.6213251,-46.6392249,6
Magellan and the Chilean Antarctic,-75.4411449,-49.702288,6
Magellan and the Chilean Antarctic,-75.4411449,-49.3419276,1
Magellan and the Chilean Antarctic,-75.4411449,-49.1617475,1
Magellan and the Chilean Antarctic,-75.4411449,-48.9815673,2
Aysén,-75.4411449,-48.2608466,3
Aysén,-75.4411449,-48.0806664,2
Aysén,-75.4411449,-46.8194051,3
Aysén,-75.4411449,-46.6392249,1
Magellan and the Chilean Antarctic,-75.2609647,-50.4230087,1
Magellan and the Chilean Antarctic,-75.2609647,-49.5221078,1
Magellan and the Chilean Antarctic,-75.2609647,-49.3419276,3
Magellan and the Chilean Antarctic,-75.2609647,-48.9815673,1
Aysén,-75.2609647,-48.6212069,1
Aysén,-75.2609647,-48.4410267,2
Aysén,-75.2609647,-48.2608466,1
Aysén,-75.2609647,-46.4590448,7
Magellan and the Chilean Antarctic,-75.0807845,-51.8644502,2
Magellan and the Chilean Antarctic,-75.0807845,-51.3239096,1
Magellan and the Chilean Antarctic,-75.0807845,-50.4230087,5
Magellan and the Chilean Antarctic,-75.0807845,-50.2428285,6
Magellan and the Chilean Antarctic,-75.0807845,-49.702288,7
Magellan and the Chilean Antarctic,-75.0807845,-49.5221078,7
Magellan and the Chilean Antarctic,-75.0807845,-49.3419276,3
Aysén,-75.0807845,-48.2608466,4
Aysén,-75.0807845,-47.9004862,3
Aysén,-75.0807845,-47.720306,1
Aysén,-75.0807845,-46.4590448,6
Aysén,-75.0807845,-46.2788646,2
Aysén,-75.0807845,-44.8374231,1
Magellan and the Chilean Antarctic,-74.9006044,-52.2248105,1
Magellan and the Chilean Antarctic,-74.9006044,-52.0446303,1
Magellan and the Chilean Antarctic,-74.9006044,-51.3239096,3
Magellan and the Chilean Antarctic,-74.9006044,-51.1437294,1
Magellan and the Chilean Antarctic,-74.9006044,-50.7833691,1
Magellan and the Chilean Antarctic,-74.9006044,-48.8013871,4
Aysén,-74.9006044,-48.4410267,3
Aysén,-74.9006044,-48.2608466,6
Aysén,-74.9006044,-47.9004862,4
Aysén,-74.9006044,-47.720306,1
Aysén,-74.9006044,-46.6392249,10
Aysén,-74.8735773,-46.4590448,7
Aysén,-74.9006044,-46.2788646,3
Magellan and the Chilean Antarctic,-74.7204242,-52.7653511,1
Magellan and the Chilean Antarctic,-74.7204242,-52.2248105,1
Magellan and the Chilean Antarctic,-74.7204242,-50.9635493,5
Magellan and the Chilean Antarctic,-74.7204242,-50.4230087,2
Magellan and the Chilean Antarctic,-74.7204242,-49.8824682,2
Magellan and the Chilean Antarctic,-74.7204242,-49.702288,7
Magellan and the Chilean Antarctic,-74.7204242,-49.5221078,2
Magellan and the Chilean Antarctic,-74.7204242,-49.3058916,6
Magellan and the Chilean Antarctic,-74.7204242,-49.1617475,10
Magellan and the Chilean Antarctic,-74.7204242,-48.9815673,10
Magellan and the Chilean Antarctic,-74.7204242,-48.8013871,8
Aysén,-74.7204242,-48.6212069,2
Aysén,-74.7204242,-48.2608466,3
Aysén,-74.7204242,-47.720306,1
Aysén,-74.7204242,-46.8194051,2
Aysén,-74.7204242,-46.6392249,10
Aysén,-74.7204242,-46.4590448,10
Aysén,-74.7114152,-46.2878736,9
Aysén,-74.6933971,-46.0986844,7
Aysén,-74.7204242,-43.5761619,2
