Region,X coordinate,Y coordinate,Radius
Russian Federation_Republic of Dagestan,47.4379707,41.3227061,6
Russian Federation_Republic of Dagestan,47.6777577,41.3136971,7
Russian Federation_Republic of Dagestan,47.8575813,41.3317151,5
Russian Federation_Republic of Dagestan,47.3595582,41.4758593,9
Russian Federation_Republic of Dagestan,47.5879877,41.4668503,10
Russian Federation_Republic of Dagestan,47.8284399,41.4668503,10
Russian Federation_Republic of Dagestan,47.9967564,41.4668503,4
Russian Federation_Republic of Dagestan,47.0177276,41.6920755,5
Russian Federation_Republic of Dagestan,47.258851,41.6470305,10
Russian Federation_Republic of Dagestan,47.4999745,41.6470305,10
Russian Federation_Republic of Dagestan,47.7410979,41.6470305,10
Russian Federation_Republic of Dagestan,47.9822213,41.6470305,10
Russian Federation_Republic of Dagestan,48.2233448,41.6470305,10
Russian Federation_Republic of Dagestan,48.4041705,41.6920755,5
Russian Federation_Republic of Dagestan,46.930122,41.8272106,10
Russian Federation_Republic of Dagestan,47.1719228,41.8272106,10
Russian Federation_Republic of Dagestan,47.4137237,41.8272106,10
Russian Federation_Republic of Dagestan,47.6555246,41.8272106,10
Russian Federation_Republic of Dagestan,47.8973254,41.8272106,10
Russian Federation_Republic of Dagestan,48.1391263,41.8272106,10
Russian Federation_Republic of Dagestan,48.3809271,41.8272106,10
Russian Federation_,48.5501622,41.8812647,4
Russian Federation_Republic of Dagestan,46.1895899,42.0614449,4
Russian Federation_Republic of Dagestan,46.3956812,42.0344178,7
Russian Federation_Republic of Dagestan,46.6017878,42.0073908,10
Russian Federation_Republic of Dagestan,46.8442724,42.0073908,10
Russian Federation_Republic of Dagestan,47.0867569,42.0073908,10
Russian Federation_Republic of Dagestan,47.3292414,42.0073908,10
Russian Federation_Republic of Dagestan,47.5717259,42.0073908,10
Russian Federation_Republic of Dagestan,47.8142104,42.0073908,10
Russian Federation_Republic of Dagestan,48.0566949,42.0073908,10
Russian Federation_Republic of Dagestan,48.2991794,42.0073908,10
Russian Federation_,48.5416639,42.0073908,10
Russian Federation_,48.7113773,42.0614449,4
Russian Federation_Republic of Dagestan,45.8239684,42.214598,7
Russian Federation_Republic of Dagestan,46.0306614,42.187571,10
Russian Federation_Republic of Dagestan,46.2738359,42.187571,10
Russian Federation_Republic of Dagestan,46.5170103,42.187571,10
Russian Federation_Republic of Dagestan,46.7601848,42.187571,10
Russian Federation_Republic of Dagestan,47.0033592,42.187571,10
Russian Federation_Republic of Dagestan,47.2465337,42.187571,10
Russian Federation_Republic of Dagestan,47.4897081,42.187571,10
Russian Federation_Republic of Dagestan,47.7328826,42.187571,10
Russian Federation_Republic of Dagestan,47.976057,42.187571,10
Russian Federation_,48.2192315,42.187571,10
Russian Federation_,48.4624059,42.187571,10
Russian Federation_,48.7055804,42.187571,10
Russian Federation_,48.9001096,42.223607,6
Russian Federation_Republic of Dagestan,45.7755437,42.3677512,4
Russian Federation_Republic of Dagestan,45.9462532,42.3677512,10
Russian Federation_Republic of Dagestan,46.190124,42.3677512,10
Russian Federation_Republic of Dagestan,46.4339947,42.3677512,10
Russian Federation_Republic of Dagestan,46.6778655,42.3677512,10
Russian Federation_Republic of Dagestan,46.9217362,42.3677512,10
Russian Federation_Republic of Dagestan,47.165607,42.3677512,10
Russian Federation_Republic of Dagestan,47.4094777,42.3677512,10
Russian Federation_Republic of Dagestan,47.6533484,42.3677512,10
Russian Federation_Republic of Dagestan,47.8972192,42.3677512,10
Russian Federation_,48.1410899,42.3677512,10
Russian Federation_,48.3849607,42.3677512,10
Russian Federation_,48.6288314,42.3677512,10
Russian Federation_,48.8727022,42.3677512,10
Russian Federation_,49.0921841,42.3857692,8
Russian Federation_Chechen Republic,45.3744534,42.6019854,4
Russian Federation_Chechen Republic,45.6190269,42.5929764,5
Russian Federation_Chechen Republic,45.8636003,42.5479314,10
Russian Federation_Republic of Dagestan,46.1081738,42.5479314,10
Russian Federation_Republic of Dagestan,46.3527472,42.5479314,10
Russian Federation_Republic of Dagestan,46.5973207,42.5479314,10
Russian Federation_Republic of Dagestan,46.8418942,42.5479314,10
Russian Federation_Republic of Dagestan,47.0864676,42.5479314,10
