Region,X coordinate,Y coordinate,Radius
Ukraine_Sevastopol,33.6395176,44.5142851,5
Ukraine_Autonomous Republic of Crimea,33.8920028,44.4782491,9
Ukraine_Autonomous Republic of Crimea,34.1444881,44.5142851,5
Ukraine_Sevastopol,33.6878117,44.6494203,9
Ukraine_Autonomous Republic of Crimea,33.9284166,44.6494203,10
Ukraine_Autonomous Republic of Crimea,34.1816849,44.6494203,10
Ukraine_Autonomous Republic of Crimea,34.3463093,44.6494203,3
Ukraine_Autonomous Republic of Crimea,33.7238183,44.8296005,9
Ukraine_Autonomous Republic of Crimea,33.9651742,44.8296005,10
Ukraine_Autonomous Republic of Crimea,34.219233,44.8296005,10
Ukraine_Autonomous Republic of Crimea,34.4732918,44.8296005,10
Ukraine_Autonomous Republic of Crimea,34.7273506,44.8656365,6
Ukraine_Autonomous Republic of Crimea,34.9051619,44.8836545,4
Ukraine_Autonomous Republic of Crimea,33.7474227,45.0097806,10
Ukraine_Autonomous Republic of Crimea,34.0022795,45.0097806,10
Ukraine_Autonomous Republic of Crimea,34.2571363,45.0097806,10
Ukraine_Autonomous Republic of Crimea,34.511993,45.0097806,10
Ukraine_Autonomous Republic of Crimea,34.7668498,45.0097806,10
Ukraine_Autonomous Republic of Crimea,35.0217065,45.0097806,10
Ukraine_Autonomous Republic of Crimea,35.2383288,45.0368077,7
Ukraine_Autonomous Republic of Crimea,35.862764,45.0638347,4
Ukraine_Autonomous Republic of Crimea,35.9773994,45.0548257,5
Ukraine_Autonomous Republic of Crimea,33.2727497,45.2259968,6
Ukraine_Autonomous Republic of Crimea,33.5539802,45.2079788,8
Ukraine_Autonomous Republic of Crimea,33.7840743,45.1899608,10
Ukraine_Autonomous Republic of Crimea,34.0397366,45.1899608,10
Ukraine_Autonomous Republic of Crimea,34.2953988,45.1899608,10
Ukraine_Autonomous Republic of Crimea,34.5510611,45.1899608,10
Ukraine_Autonomous Republic of Crimea,34.8067234,45.1899608,10
Ukraine_Autonomous Republic of Crimea,35.0623857,45.1899608,10
Ukraine_Autonomous Republic of Crimea,35.318048,45.1899608,10
Ukraine_Autonomous Republic of Crimea,35.5737103,45.1899608,7
Ukraine_Autonomous Republic of Crimea,35.8293726,45.1899608,10
Ukraine_Autonomous Republic of Crimea,36.0850349,45.1899608,10
Ukraine_Autonomous Republic of Crimea,36.3023418,45.2169878,7
Ukraine_Odessa,28.4479128,45.370141,9
Ukraine_Odessa,28.6915645,45.370141,10
Ukraine_Odessa,28.94804,45.397168,7
Ukraine_Odessa,29.1147061,45.4332041,3
Ukraine_Autonomous Republic of Crimea,32.7951721,45.415186,5
Ukraine_Autonomous Republic of Crimea,33.0644713,45.37915,9
Ukraine_Autonomous Republic of Crimea,33.308123,45.370141,10
Ukraine_Autonomous Republic of Crimea,33.5645985,45.370141,10
Ukraine_Autonomous Republic of Crimea,33.821074,45.370141,10
Ukraine_Autonomous Republic of Crimea,34.0775495,45.370141,10
Ukraine_Autonomous Republic of Crimea,34.3340249,45.370141,10
Ukraine_Autonomous Republic of Crimea,34.5905004,45.370141,10
Ukraine_Autonomous Republic of Crimea,34.8469759,45.370141,10
Ukraine_Autonomous Republic of Crimea,35.0265393,45.3160869,4
Ukraine_Autonomous Republic of Crimea,35.8728778,45.3250959,5
Ukraine_Autonomous Republic of Crimea,36.1549987,45.352123,8
Ukraine_Autonomous Republic of Crimea,36.3730049,45.370141,9
Ukraine_Odessa,28.5452122,45.4872581,3
Ukraine_Odessa,28.7124981,45.5503212,10
Ukraine_Odessa,28.9697945,45.5503212,10
Ukraine_Odessa,29.2270909,45.5503212,10
Ukraine_Odessa,29.4715224,45.5593302,9
Ukraine_Autonomous Republic of Crimea,32.8678287,45.5232941,7
Ukraine_Autonomous Republic of Crimea,33.0865368,45.5503212,10
Ukraine_Autonomous Republic of Crimea,33.3438332,45.5503212,10
Ukraine_Autonomous Republic of Crimea,33.6011296,45.5503212,10
Ukraine_Autonomous Republic of Crimea,33.858426,45.5503212,10
Ukraine_Autonomous Republic of Crimea,34.1157224,45.5503212,10
Ukraine_Autonomous Republic of Crimea,34.3730188,45.5503212,10
Ukraine_Autonomous Republic of Crimea,34.6303152,45.5503212,10
Ukraine_Autonomous Republic of Crimea,34.8876116,45.5503212,10
Ukraine_Odessa,28.5658063,45.6674383,3
Ukraine_Odessa,28.7594418,45.7124833,8
Ukraine_Odessa,28.9917565,45.7305014,10
Ukraine_Odessa,29.2498817,45.7305014,10
Ukraine_Odessa,29.4821943,45.7305014,8
Ukraine_Odessa,29.766132,45.7755464,5
Ukraine_Autonomous Republic of Crimea,33.1862694,45.6854563,5
Ukraine_Autonomous Republic of Crimea,33.4056945,45.7124833,8
Ukraine_Autonomous Republic of Crimea,33.6380092,45.7305014,10
Ukraine_Autonomous Republic of Crimea,33.8961344,45.7305014,10
Ukraine_Autonomous Republic of Crimea,34.1542595,45.7305014,10
Ukraine_Autonomous Republic of Crimea,34.3865742,45.7124833,8
Ukraine_Autonomous Republic of Crimea,34.6705098,45.6944653,6
Ukraine_Odessa,28.8326238,45.8566275,4
Ukraine_Odessa,29.0139286,45.9106815,10
Ukraine_Odessa,29.2728904,45.9106815,10
Ukraine_Odessa,29.5318522,45.9106815,10
Ukraine_Odessa,29.790814,45.9106815,10
Ukraine_Odessa,30.0368278,45.9196905,9
Ukraine_Odessa,30.2439762,45.9557266,5
Ukraine_Autonomous Republic of Crimea,33.9342034,45.9106815,10
Ukraine_Autonomous Republic of Crimea,34.1413854,45.8746455,6
Ukraine_Odessa,29.0882744,46.0908617,6
Ukraine_Odessa,29.2961196,46.0908617,10
Ukraine_Odessa,29.5559262,46.0908617,10
Ukraine_Odessa,29.8157327,46.0908617,10
Ukraine_Odessa,30.0755392,46.0908617,10
Ukraine_Odessa,30.3223555,46.0998707,9
Ukraine_Odessa,30.5041754,46.1539248,3
Ukraine_Kherson,32.4787709,46.1359068,5
Ukraine_Kherson,32.5956308,46.1449158,4
Ukraine_Kherson,33.4530242,46.1359068,5
Ukraine_Odessa,29.0849808,46.2890599,8
Ukraine_Odessa,29.3195721,46.2710419,10
Ukraine_Odessa,29.5802314,46.2710419,10
Ukraine_Odessa,29.8408908,46.2620329,9
Ukraine_Odessa,30.1015501,46.2710419,10
Ukraine_Odessa,30.3622095,46.2710419,10
Ukraine_Odessa,30.5837635,46.2980689,7
Ukraine_Kherson,32.212893,46.2890599,8
Ukraine_Kherson,32.4474842,46.2710419,10
Ukraine_Kherson,32.7081436,46.2710419,10
Ukraine_Kherson,32.9688029,46.2710419,10
Ukraine_Kherson,33.2294623,46.2710419,10
Ukraine_Kherson,33.4901216,46.2710419,10
Ukraine_Kherson,33.6986363,46.3070779,6
Ukraine_Kherson,34.0114403,46.2890599,8
Ukraine_Kherson,34.311205,46.2980689,7
Ukraine_Kherson,34.532759,46.2800509,9
Ukraine_Kherson,34.7803854,46.2800509,9
Ukraine_Kherson,35.0540777,46.3250959,4
Ukraine_Odessa,29.0817299,46.424195,7
Ukraine_Odessa,30.1801285,46.4872581,6
Ukraine_Odessa,30.3893318,46.4512221,10
Ukraine_Odessa,30.6508522,46.4512221,10
Ukraine_Kherson,32.2199744,46.415186,6
Ukraine_Kherson,32.5076447,46.4332041,8
Ukraine_Kherson,32.7430152,46.4512221,10
Ukraine_Kherson,33.0045356,46.4512221,10
Ukraine_Kherson,33.2660559,46.4512221,10
Ukraine_Kherson,33.5275763,46.4512221,10
Ukraine_Kherson,33.7890967,46.4512221,10
Ukraine_Kherson,34.0506171,46.4512221,10
Ukraine_Kherson,34.3121374,46.4512221,10
Ukraine_Kherson,34.5736578,46.4512221,10
Ukraine_Kherson,34.8351782,46.4512221,10
Ukraine_Zaporizhzhia,35.0705444,46.4692401,8
Ukraine_Zaporizhzhia,35.358219,46.4692401,8
Ukraine_Zaporizhzhia,35.5412507,46.5052761,4
Ukraine_Odessa,30.1543263,46.6314023,10
Ukraine_Odessa,30.416716,46.6314023,10
Ukraine_Odessa,30.6791057,46.6314023,10
Ukraine_Odessa,30.9414954,46.6584293,7
Ukraine_Mykolaiv,31.2038851,46.6764473,5
Ukraine_Mykolaiv,31.3875251,46.6854563,4
Ukraine_Kherson,32.0566735,46.6764473,5
Ukraine_Kherson,32.253444,46.6674383,6
Ukraine_Kherson,32.5158337,46.6674383,6
Ukraine_Kherson,32.7782234,46.6314023,10
Ukraine_Kherson,33.0406131,46.6314023,10
Ukraine_Kherson,33.3030028,46.6314023,10
Ukraine_Kherson,33.5653925,46.6314023,10
Ukraine_Kherson,33.8277822,46.6314023,10
Ukraine_Kherson,34.090172,46.6314023,10
Ukraine_Kherson,34.3525617,46.6314023,10
Ukraine_Kherson,34.6149514,46.6314023,10
Ukraine_Zaporizhzhia,34.8773411,46.6314023,10
Ukraine_Zaporizhzhia,35.1397308,46.6314023,10
Ukraine_Zaporizhzhia,35.4021205,46.6314023,10
Ukraine_Zaporizhzhia,35.6513907,46.6404113,9
Ukraine_Zaporizhzhia,35.8481502,46.6854563,4
Ukraine_Odessa,30.0099738,46.8115824,3
Ukraine_Odessa,30.1810976,46.8115824,10
Ukraine_Odessa,30.4443651,46.8115824,10
Ukraine_Odessa,30.7076325,46.8115824,10
Ukraine_Odessa,30.9709,46.8115824,10
Ukraine_Mykolaiv,31.2341675,46.8115824,10
Ukraine_Mykolaiv,31.471106,46.8296005,8
Ukraine_Mykolaiv,31.7607024,46.8115824,8
Ukraine_Mykolaiv,32.06346,46.8115824,7
Ukraine_Mykolaiv,32.2872373,46.8115824,10
Ukraine_Kherson,32.5505048,46.8115824,10
Ukraine_Kherson,32.8137722,46.8115824,10
Ukraine_Kherson,33.0770397,46.8115824,10
Ukraine_Kherson,33.3403072,46.8115824,10
Ukraine_Kherson,33.6035746,46.8115824,10
Ukraine_Kherson,33.8668421,46.8115824,10
Ukraine_Kherson,34.1301095,46.8115824,10
Ukraine_Kherson,34.393377,46.8115824,10
Ukraine_Kherson,34.6566445,46.8115824,10
Ukraine_Zaporizhzhia,34.9199119,46.8115824,10
Ukraine_Zaporizhzhia,35.1831794,46.8115824,10
Ukraine_Zaporizhzhia,35.4464469,46.8115824,10
Ukraine_Zaporizhzhia,35.7097143,46.8115824,10
Ukraine_Zaporizhzhia,35.9729818,46.8115824,10
Ukraine_Zaporizhzhia,36.2362492,46.8115824,10
Ukraine_Zaporizhzhia,36.4731878,46.8296005,8
Ukraine_Zaporizhzhia,36.7627842,46.8386095,7
Ukraine_Odessa,29.7062388,47.0097806,8
Ukraine_Odessa,29.9439749,46.9917626,10
Ukraine_Odessa,30.2081286,46.9917626,10
Ukraine_Odessa,30.4722823,46.9917626,10
Ukraine_Odessa,30.7364361,46.9917626,10
Ukraine_Odessa,31.0005898,46.9917626,10
Ukraine_Mykolaiv,31.2647435,46.9917626,10
Ukraine_Mykolaiv,31.5288972,46.9917626,10
Ukraine_Mykolaiv,31.7534346,46.9647356,7
