Region,X coordinate,Y coordinate,Radius
Algeria_Adrar,3.2476911,19.1025161,6
Algeria_Adrar,3.4383297,19.0844981,8
Algeria_Adrar,3.6289683,19.1025161,6
Algeria_Adrar,3.771942,19.1115251,5
Algeria_Adrar,3.2797987,19.2286423,8
Algeria_Adrar,3.4515615,19.2466603,10
Algeria_Adrar,3.6424085,19.2466603,10
Algeria_Tamanghasset,3.8332554,19.2466603,10
Algeria_Tamanghasset,4.0241024,19.2466603,10
Algeria_Tamanghasset,4.2149493,19.2466603,10
Algeria_Tamanghasset,4.4057963,19.2646783,8
Algeria_Tamanghasset,4.5966432,19.2826963,6
Algeria_Tamanghasset,4.7397732,19.2917053,5
Algeria_Adrar,3.3216492,19.4268405,5
Algeria_Adrar,3.4649424,19.4268405,10
Algeria_Adrar,3.6560001,19.4268405,10
Algeria_Tamanghasset,3.8470578,19.4268405,10
Algeria_Tamanghasset,4.0381155,19.4268405,10
Algeria_Tamanghasset,4.2291731,19.4268405,10
Algeria_Tamanghasset,4.4202308,19.4268405,10
Algeria_Tamanghasset,4.6112885,19.4268405,10
Algeria_Tamanghasset,4.8023462,19.4268405,10
Algeria_Tamanghasset,4.9934038,19.4268405,10
Algeria_Tamanghasset,5.1844615,19.4268405,10
Algeria_Tamanghasset,5.3755192,19.4448585,8
Algeria_Tamanghasset,5.5665769,19.4628765,6
Algeria_Tamanghasset,5.7003093,19.4808945,4
Algeria_Adrar,3.3063295,19.6070206,8
Algeria_Adrar,3.4784732,19.6070206,10
Algeria_Adrar,3.6697439,19.6070206,10
Algeria_Tamanghasset,3.8610147,19.6070206,10
Algeria_Tamanghasset,4.0522854,19.6070206,10
Algeria_Tamanghasset,4.2435562,19.6070206,10
Algeria_Tamanghasset,4.434827,19.6070206,10
Algeria_Tamanghasset,4.6260977,19.6070206,10
Algeria_Tamanghasset,4.8173685,19.6070206,10
Algeria_Tamanghasset,5.0086392,19.6070206,10
Algeria_Tamanghasset,5.19991,19.6070206,10
Algeria_Tamanghasset,5.3911807,19.6070206,10
Algeria_Tamanghasset,5.5824515,19.6070206,10
Algeria_Tamanghasset,5.7737223,19.6070206,10
Algeria_Tamanghasset,5.964993,19.6520657,5
Algeria_Adrar,3.3198174,19.8052188,8
Algeria_Adrar,3.4921545,19.7872008,10
Algeria_Adrar,3.6836407,19.7872008,10
Algeria_Tamanghasset,3.8751269,19.7872008,10
Algeria_Tamanghasset,4.0666131,19.7872008,10
Algeria_Tamanghasset,4.2580993,19.7872008,10
Algeria_Tamanghasset,4.4495856,19.7872008,10
Algeria_Tamanghasset,4.6410718,19.7872008,10
Algeria_Tamanghasset,4.832558,19.7872008,10
Algeria_Tamanghasset,5.0240442,19.7872008,10
Algeria_Tamanghasset,5.2155304,19.7872008,10
Algeria_Tamanghasset,5.4070166,19.7872008,10
Algeria_Tamanghasset,5.5985028,19.7872008,10
Algeria_Tamanghasset,5.789989,19.7872008,10
Algeria_Tamanghasset,5.9814753,19.7872008,10
Algeria_Tamanghasset,6.1729615,19.8322459,5
Algeria_Adrar,2.9308751,20.012426,5
Algeria_Adrar,3.1321643,19.97639,9
Algeria_Adrar,3.3142832,19.967381,10
Algeria_Adrar,3.5059872,19.967381,10
Algeria_Adrar,3.6976913,19.967381,10
Algeria_Tamanghasset,3.8893953,19.967381,10
Algeria_Tamanghasset,4.0810994,19.967381,10
Algeria_Tamanghasset,4.2728034,19.967381,10
Algeria_Tamanghasset,4.4645075,19.967381,10
Algeria_Tamanghasset,4.6562115,19.967381,10
Algeria_Tamanghasset,4.8479156,19.967381,10
Algeria_Tamanghasset,5.0396196,19.967381,10
Algeria_Tamanghasset,5.2313237,19.967381,10
Algeria_Tamanghasset,5.4230277,19.967381,10
Algeria_Tamanghasset,5.6147318,19.967381,10
Algeria_Tamanghasset,5.8064358,19.967381,10
Algeria_Tamanghasset,5.9981399,19.967381,10
Algeria_Tamanghasset,6.1898439,19.967381,10
Algeria_Tamanghasset,6.381548,20.012426,5
Algeria_Adrar,2.4260037,20.1475612,4
Algeria_Adrar,2.5603507,20.1475612,10
Algeria_Adrar,2.752275,20.1475612,10
Algeria_Adrar,2.9441992,20.1475612,10
Algeria_Adrar,3.1361235,20.1475612,10
Algeria_Adrar,3.3280478,20.1475612,10
Algeria_Adrar,3.5199721,20.1475612,10
Algeria_Adrar,3.7118964,20.1475612,10
Algeria_Tamanghasset,3.9038207,20.1475612,10
Algeria_Tamanghasset,4.0957449,20.1475612,10
Algeria_Tamanghasset,4.2876692,20.1475612,10
Algeria_Tamanghasset,4.4795935,20.1475612,10
Algeria_Tamanghasset,4.6715178,20.1475612,10
Algeria_Tamanghasset,4.8634421,20.1475612,10
Algeria_Tamanghasset,5.0553664,20.1475612,10
Algeria_Tamanghasset,5.2472907,20.1475612,10
Algeria_Tamanghasset,5.4392149,20.1475612,10
Algeria_Tamanghasset,5.6311392,20.1475612,10
Algeria_Tamanghasset,5.8230635,20.1475612,10
Algeria_Tamanghasset,6.0149878,20.1475612,10
Algeria_Tamanghasset,6.2069121,20.1475612,10
Algeria_Tamanghasset,6.3988364,20.1475612,10
Algeria_Tamanghasset,6.5907607,20.1926062,5
Algeria_Adrar,1.8047876,20.3727864,5
Algeria_Adrar,2.0065419,20.3367504,9
Algeria_Adrar,2.1602577,20.3547684,7
Algeria_Adrar,2.3812284,20.3277414,10
Algeria_Adrar,2.5733753,20.3277414,10
Algeria_Adrar,2.7655222,20.3277414,10
Algeria_Adrar,2.9576692,20.3277414,10
Algeria_Adrar,3.1498161,20.3277414,10
Algeria_Adrar,3.341963,20.3277414,10
Algeria_Adrar,3.5341099,20.3277414,10
Algeria_Adrar,3.7262569,20.3277414,10
Algeria_Tamanghasset,3.9184038,20.3277414,10
Algeria_Tamanghasset,4.1105507,20.3277414,10
Algeria_Tamanghasset,4.3026977,20.3277414,10
