Region,X coordinate,Y coordinate,Radius
Austria_Carinthia,14.1140777,46.5426351,5
Austria_Carinthia,14.375821,46.5156081,8
Austria_Carinthia,14.6375642,46.5246171,7
Austria_Carinthia,14.7945494,46.5696622,2
Austria_Tyrol,12.5536401,46.7228153,5
Austria_Carinthia,12.8162548,46.7138063,6
Austria_Carinthia,13.0920004,46.6867793,9
Austria_Carinthia,13.3414844,46.6777703,10
Austria_Carinthia,13.6040992,46.6777703,10
Austria_Carinthia,13.866714,46.6777703,10
Austria_Carinthia,14.1293288,46.6777703,10
Austria_Carinthia,14.3919436,46.6777703,10
Austria_Carinthia,14.6545584,46.6777703,10
Austria_Carinthia,14.8909095,46.6957883,8
Austria_Styria,15.1797879,46.7138063,6
Austria_Styria,15.4424027,46.7228153,5
Austria_Tyrol,10.5480711,46.9210135,3
Austria_Tyrol,10.9827909,46.8849775,7
Austria_Tyrol,12.3529768,46.8939865,6
Austria_Tyrol,12.5637593,46.8579505,10
Austria_Tyrol,12.827254,46.8579505,10
Austria_Carinthia,13.0907487,46.8579505,10
Austria_Carinthia,13.3542434,46.8579505,10
Austria_Carinthia,13.6177381,46.8579505,10
Austria_Carinthia,13.8812328,46.8579505,10
Austria_Carinthia,14.1447276,46.8579505,10
Austria_Carinthia,14.4082223,46.8579505,10
Austria_Carinthia,14.671717,46.8579505,10
Austria_Carinthia,14.9352117,46.8579505,10
Austria_Styria,15.1987064,46.8579505,10
Austria_Styria,15.4622012,46.8579505,10
Austria_Styria,15.7256959,46.8579505,10
Austria_Styria,15.9364784,46.8939865,6
Austria_Vorarlberg,9.969809,47.0651577,7
Austria_Tyrol,10.194528,47.0381306,10
Austria_Tyrol,10.4853517,47.0561486,8
Austria_Tyrol,10.7232943,47.0381306,10
Austria_Tyrol,10.9876775,47.0381306,10
Austria_Tyrol,11.2256202,47.0561486,8
Austria_Tyrol,11.5164439,47.0741667,6
Austria_Tyrol,11.7808271,47.0651577,7
Austria_Tyrol,11.9790922,47.0831757,5
Austria_Tyrol,12.3360318,47.0381306,8
Austria_Tyrol,12.5739767,47.0381306,10
Austria_Carinthia,12.8383598,47.0381306,10
Austria_Salzburg,13.102743,47.0381306,10
Austria_Carinthia,13.3671262,47.0381306,10
Austria_Carinthia,13.6315094,47.0381306,10
Austria_Styria,13.8958926,47.0381306,10
Austria_Carinthia,14.1602758,47.0381306,10
Austria_Styria,14.424659,47.0381306,10
Austria_Styria,14.6890422,47.0381306,10
Austria_Styria,14.9534254,47.0381306,10
Austria_Styria,15.2178085,47.0381306,10
Austria_Styria,15.4821917,47.0381306,10
Austria_Styria,15.7465749,47.0381306,10
Austria_Styria,16.0109581,47.0381306,10
Austria_Burgenland,16.2356771,47.0651577,7
Austria_Vorarlberg,9.7060022,47.2183108,7
Austria_Vorarlberg,9.9314905,47.2183108,10
Austria_Vorarlberg,10.170245,47.2002928,8
Austria_Tyrol,10.4620511,47.2183108,10
Austria_Tyrol,10.7273314,47.2183108,10
Austria_Tyrol,10.9926117,47.2183108,10
Austria_Tyrol,11.257892,47.2183108,10
Austria_Tyrol,11.5231723,47.2183108,10
Austria_Tyrol,11.7884526,47.2183108,10
Austria_Tyrol,12.0537329,47.2183108,10
Austria_Salzburg,12.3190132,47.2183108,10
Austria_Salzburg,12.5842935,47.2183108,10
Austria_Salzburg,12.8495738,47.2183108,10
Austria_Salzburg,13.1148541,47.2183108,10
Austria_Salzburg,13.3801344,47.2183108,10
Austria_Salzburg,13.6454147,47.2183108,10
Austria_Styria,13.910695,47.2183108,10
Austria_Styria,14.1759753,47.2183108,10
Austria_Styria,14.4412556,47.2183108,10
Austria_Styria,14.7065359,47.2183108,10
Austria_Styria,14.9718162,47.2183108,10
Austria_Styria,15.2370965,47.2183108,10
Austria_Styria,15.5023768,47.2183108,10
Austria_Styria,15.7676571,47.2183108,10
Austria_Styria,16.0329374,47.2183108,10
Austria_Burgenland,16.2849537,47.2183108,9
Austria_Vorarlberg,9.7465189,47.398491,4
Austria_Vorarlberg,9.9328493,47.398491,10
Austria_Vorarlberg,10.1325116,47.3534459,5
Austria_Tyrol,10.5184452,47.362455,6
Austria_Tyrol,10.7314078,47.398491,10
Austria_Tyrol,10.9177381,47.398491,4
Austria_Tyrol,11.2637801,47.362455,6
Austria_Tyrol,11.5299663,47.398491,10
