Region,X coordinate,Y coordinate,Radius
Equatorial Guinea_Litoral,9.9559444,1.0562861,6
Equatorial Guinea_Centro Sur,10.1361531,1.0652951,5
Equatorial Guinea_Centro Sur,10.3163619,1.0652951,5
Equatorial Guinea_Centro Sur,10.4965706,1.0562861,6
Equatorial Guinea_Centro Sur,10.6767794,1.0652951,5
Equatorial Guinea_Centro Sur,10.8569881,1.0652951,5
Equatorial Guinea_Wele-Nzas,11.0371969,1.0652951,5
Equatorial Guinea_Wele-Nzas,11.2174056,1.0652951,5
Equatorial Guinea_Litoral,9.5955983,1.2004303,10
Equatorial Guinea_Litoral,9.775818,1.2004303,10
Equatorial Guinea_Litoral,9.9560377,1.2004303,10
Equatorial Guinea_Litoral,10.1362575,1.2004303,10
Equatorial Guinea_Centro Sur,10.3164772,1.2004303,10
Equatorial Guinea_Centro Sur,10.4966969,1.2004303,10
Equatorial Guinea_Centro Sur,10.6769167,1.2004303,10
Equatorial Guinea_Centro Sur,10.8571364,1.2004303,10
Equatorial Guinea_Wele-Nzas,11.0373561,1.2004303,10
Equatorial Guinea_Wele-Nzas,11.2175759,1.2004303,10
Equatorial Guinea_Litoral,9.5956813,1.3806105,10
Equatorial Guinea_Litoral,9.7759138,1.3806105,10
Equatorial Guinea_Litoral,9.9561463,1.3806105,10
Equatorial Guinea_Centro Sur,10.1363788,1.3806105,10
Equatorial Guinea_Centro Sur,10.3166113,1.3806105,10
Equatorial Guinea_Centro Sur,10.4968438,1.3806105,10
Equatorial Guinea_Centro Sur,10.6770763,1.3806105,10
Equatorial Guinea_Wele-Nzas,10.8573088,1.3806105,10
Equatorial Guinea_Wele-Nzas,11.0375413,1.3806105,10
Equatorial Guinea_Wele-Nzas,11.2177738,1.3806105,10
Equatorial Guinea_Litoral,9.6408372,1.5157456,5
Equatorial Guinea_Litoral,9.7760229,1.5607906,10
Equatorial Guinea_Centro Sur,9.95627,1.5607906,10
Equatorial Guinea_Centro Sur,10.136517,1.5607906,10
Equatorial Guinea_Centro Sur,10.3167641,1.5607906,10
Equatorial Guinea_Centro Sur,10.4970111,1.5607906,10
Equatorial Guinea_Centro Sur,10.6772582,1.5607906,10
Equatorial Guinea_Centro Sur,10.8575052,1.5607906,10
Equatorial Guinea_Wele-Nzas,11.0377523,1.5607906,10
Equatorial Guinea_Wele-Nzas,11.2179993,1.5607906,10
Equatorial Guinea_Litoral,9.7941717,1.7229528,8
Equatorial Guinea_Litoral,9.9564088,1.7409708,10
Equatorial Guinea_Centro Sur,10.1366722,1.7409708,10
Equatorial Guinea_Centro Sur,10.3169356,1.7409708,10
Equatorial Guinea_Centro Sur,10.497199,1.7409708,10
Equatorial Guinea_Wele-Nzas,10.6774624,1.7409708,10
Equatorial Guinea_Wele-Nzas,10.8577258,1.7409708,10
Equatorial Guinea_Kié-Ntem,11.0379892,1.7409708,10
Equatorial Guinea_Wele-Nzas,11.2182526,1.7409708,10
Equatorial Guinea_Litoral,9.8303651,1.8670969,4
Equatorial Guinea_Litoral,9.9565629,1.921151,10
Equatorial Guinea_Centro Sur,10.1368444,1.921151,10
Equatorial Guinea_Centro Sur,10.3171259,1.921151,10
Equatorial Guinea_Centro Sur,10.4974074,1.921151,10
Equatorial Guinea_Wele-Nzas,10.6776889,1.921151,10
Equatorial Guinea_Wele-Nzas,10.8579705,1.921151,10
Equatorial Guinea_Kié-Ntem,11.038252,1.921151,10
Equatorial Guinea_Kié-Ntem,11.2185335,1.921151,10
Equatorial Guinea_Litoral,9.9567321,2.0923222,9
Equatorial Guinea_Litoral,10.1370335,2.0833132,8
Equatorial Guinea_Centro Sur,10.317335,2.0833132,8
Equatorial Guinea_Kié-Ntem,10.4976364,2.0833132,8
Equatorial Guinea_Kié-Ntem,10.6779378,2.0833132,8
Equatorial Guinea_Kié-Ntem,10.8582392,2.0833132,8
Equatorial Guinea_Kié-Ntem,11.0385407,2.0833132,8
Equatorial Guinea_Kié-Ntem,11.2188421,2.0833132,8
Equatorial Guinea_Bioko Sur,8.52344,3.3625924,9
Equatorial Guinea_Bioko Sur,8.6949064,3.3625924,10
Equatorial Guinea_Bioko Sur,8.6949578,3.5247546,8
Equatorial Guinea_Bioko Norte,8.8393774,3.5788086,6
