Region,X coordinate,Y coordinate,Radius
Estonia_Valga,26.3785359,57.6487561,6
Estonia_Võru,26.7149193,57.6487561,6
Estonia_Võru,27.0513027,57.6577651,5
Estonia_Võru,27.2867085,57.6667741,4
Estonia_Valga,26.1645419,57.7929003,4
Estonia_Valga,26.4011847,57.7929003,10
Estonia_Võru,26.7392458,57.7929003,10
Estonia_Võru,27.0773069,57.7929003,10
Estonia_Võru,27.3815576,57.8109183,8
Estonia_Pärnu,24.5045577,58.0361435,3
Estonia_Pärnu,24.7253113,58.0181255,5
Estonia_Viljandi,25.5238347,58.0361435,3
Estonia_Valga,25.7615762,57.9820895,9
Estonia_Valga,26.0843472,57.9730805,10
Estonia_Valga,26.4241062,57.9730805,10
Estonia_Põlva,26.7638651,57.9730805,10
Estonia_Põlva,27.1036241,57.9730805,10
Estonia_Põlva,27.4433831,57.9730805,10
Estonia_Põlva,27.6472385,57.9730805,2
Estonia_Saare,22.1106068,58.2073147,4
Estonia_Saare,22.2299681,58.2163237,3
Estonia_Pärnu,24.5350314,58.1532606,2
Estonia_Pärnu,24.7399179,58.1532606,10
Estonia_Pärnu,25.0643214,58.1622696,9
Estonia_Viljandi,25.4228726,58.1532606,10
Estonia_Viljandi,25.76435,58.1532606,10
Estonia_Tartu,26.1058274,58.1532606,10
Estonia_Valga,26.4473048,58.1532606,10
Estonia_Põlva,26.7887822,58.1532606,10
Estonia_Põlva,27.1302596,58.1532606,10
Estonia_Põlva,27.4205284,58.1262336,7
Estonia_Saare,22.0947725,58.3334408,5
Estonia_Saare,22.352185,58.3334408,10
Estonia_Saare,22.6954017,58.3334408,10
Estonia_Saare,22.9355877,58.3874949,4
Estonia_Pärnu,24.0682685,58.3604678,7
Estonia_Pärnu,24.7547019,58.3334408,10
Estonia_Viljandi,25.0979186,58.3334408,10
Estonia_Viljandi,25.4411353,58.3334408,10
Estonia_Viljandi,25.784352,58.3334408,10
Estonia_Tartu,26.1275687,58.3334408,10
Estonia_Tartu,26.4707854,58.3334408,10
Estonia_Tartu,26.8140021,58.3334408,10
Estonia_Tartu,27.1572188,58.3334408,10
Estonia_Tartu,27.3974705,58.3334408,4
Estonia_Saare,22.1304978,58.4505579,3
Estonia_Saare,22.3548259,58.495603,8
Estonia_Saare,22.717052,58.504612,9
Estonia_Saare,22.9930337,58.513621,7
Estonia_Pärnu,23.769237,58.531639,8
Estonia_Pärnu,24.079712,58.513621,10
Estonia_Pärnu,24.4246893,58.513621,10
Estonia_Pärnu,24.7696665,58.513621,10
Estonia_Viljandi,25.1146438,58.513621,10
Estonia_Viljandi,25.459621,58.513621,10
Estonia_Viljandi,25.8045982,58.513621,10
Estonia_Jõgeva,26.1495755,58.513621,10
Estonia_Tartu,26.4945527,58.513621,10
Estonia_Tartu,26.83953,58.513621,10
Estonia_Tartu,27.1845072,58.513621,10
Estonia_Tartu,27.4259913,58.513621,4
Estonia_Hiiu,22.5137024,58.7748823,1
Estonia_Hiiu,22.6001633,58.7478552,4
Estonia_Lääne,23.7792081,58.6757832,8
Estonia_Lääne,24.091296,58.6938012,10
Estonia_Rapla,24.4380554,58.6938012,10
Estonia_Pärnu,24.7848147,58.6938012,10
Estonia_Pärnu,25.1315741,58.6938012,10
Estonia_Järva,25.4783335,58.6938012,10
Estonia_Jõgeva,25.8250929,58.6938012,10
Estonia_Jõgeva,26.1718523,58.6938012,10
Estonia_Jõgeva,26.5186116,58.6938012,10
Estonia_Jõgeva,26.865371,58.6938012,10
Estonia_Jõgeva,27.2121304,58.6938012,10
Estonia_Tartu,27.4028481,58.6938012,1
Estonia_Hiiu,22.4822025,58.8739814,3
Estonia_Hiiu,22.6739124,58.8739814,8
Estonia_Lääne,23.7718874,58.8829904,9
Estonia_Lääne,24.1030227,58.8739814,10
Estonia_Rapla,24.4515862,58.8739814,10
Estonia_Rapla,24.8001497,58.8739814,10
Estonia_Rapla,25.1487132,58.8739814,10
Estonia_Järva,25.4972767,58.8739814,10
Estonia_Järva,25.8458402,58.8739814,10
Estonia_Jõgeva,26.1944037,58.8739814,10
Estonia_Jõgeva,26.5429672,58.8739814,10
Estonia_Jõgeva,26.8915307,58.8739814,10
Estonia_Ida-Viru,27.2400942,58.8739814,10
Estonia_Ida-Viru,27.4840205,58.9280354,4
Estonia_Lääne,23.536848,59.1172246,3
Estonia_Lääne,23.7820243,59.0541615,9
Estonia_Lääne,24.1148948,59.0541615,10
Estonia_Rapla,24.4652848,59.0541615,10
Estonia_Rapla,24.8156747,59.0541615,10
Estonia_Rapla,25.1660647,59.0541615,10
Estonia_Järva,25.5164547,59.0541615,10
Estonia_Järva,25.8668446,59.0541615,10
Estonia_Lääne-Viru,26.2172346,59.0541615,10
Estonia_Lääne-Viru,26.5676246,59.0541615,10
Estonia_Ida-Viru,26.9180145,59.0541615,10
Estonia_Ida-Viru,27.2684045,59.0541615,10
Estonia_Ida-Viru,27.601275,59.0631705,9
Estonia_Lääne,23.5456225,59.1712786,3
Estonia_Lääne,23.7746755,59.1892967,5
Estonia_Harju,24.1445266,59.2253327,9
Estonia_Harju,24.4791539,59.2343417,10
Estonia_Harju,24.831393,59.2343417,10
Estonia_Harju,25.1836322,59.2343417,10
Estonia_Järva,25.5358714,59.2343417,10
Estonia_Järva,25.8881106,59.2343417,10
Estonia_Lääne-Viru,26.2403498,59.2343417,10
Estonia_Lääne-Viru,26.5925889,59.2343417,10
Estonia_Ida-Viru,26.9448281,59.2343417,10
Estonia_Ida-Viru,27.2970673,59.2343417,10
Estonia_Ida-Viru,27.6493065,59.2343417,10
Estonia_Harju,24.2805979,59.3424498,2
Estonia_Harju,24.4931965,59.3874949,7
Estonia_Harju,24.8650137,59.4055129,9
Estonia_Harju,25.2014196,59.4145219,10
