Region,X coordinate,Y coordinate,Radius
France_Corse-du-Sud,9.0933144,41.5000551,5
France_Corse-du-Sud,9.2014563,41.5090641,4
France_Corse-du-Sud,9.0717705,41.6351903,10
France_Corse-du-Sud,9.2766827,41.6622173,7
France_Corse-du-Sud,8.8931186,41.8153705,8
France_Corse-du-Sud,9.1106992,41.8153705,10
France_Corse-du-Sud,9.3161919,41.8153705,7
France_Corse-du-Sud,8.9075459,41.9955506,10
France_Corse-du-Sud,9.1499853,41.9955506,10
France_Haute-Corse,9.3560536,42.0225777,7
France_Corse-du-Sud,8.7276878,42.1757308,8
France_Corse-du-Sud,8.9465039,42.1757308,10
France_Haute-Corse,9.1896328,42.1757308,10
France_Haute-Corse,9.4327617,42.1757308,10
France_Pyrénées-Orientales,2.0002772,42.4189741,3
France_Pyrénées-Orientales,2.0733511,42.4189741,3
France_Pyrénées-Orientales,2.475725,42.409965,4
France_Pyrénées-Orientales,2.5854024,42.400956,5
France_Haute-Corse,8.7541871,42.36492,9
France_Haute-Corse,8.9858207,42.355911,10
France_Haute-Corse,9.2296455,42.355911,10
France_Pyrénées-Orientales,1.9464412,42.5451002,9
France_Pyrénées-Orientales,2.1787419,42.5360912,10
France_Pyrénées-Orientales,2.423269,42.5360912,10
France_Pyrénées-Orientales,2.6677961,42.5360912,10
France_Pyrénées-Orientales,2.8878687,42.5541092,8
France_Haute-Corse,8.8054241,42.5180732,8
France_Haute-Corse,9.0255002,42.5360912,10
France_Haute-Corse,9.2700273,42.5360912,10
France_Hautes-Pyrénées,-0.0081806,42.7523074,6
France_Haute-Garonne,0.4822911,42.7523074,6
France_Ariège,1.2179987,42.7613164,5
France_Ariège,1.4632346,42.7432984,7
France_Ariège,1.7207322,42.7252804,9
France_Ariège,1.9537063,42.7162714,10
France_Aude,2.1989422,42.7162714,10
France_Pyrénées-Orientales,2.4441781,42.7162714,10
France_Pyrénées-Orientales,2.6894139,42.7162714,10
France_Pyrénées-Orientales,2.922388,42.7072623,9
France_Haute-Corse,9.1268376,42.6712263,5
France_Haute-Corse,9.2372382,42.6622173,4
France_Pyrenees-Atlantics,-0.6582727,42.9505056,4
France_Pyrenees-Atlantics,-0.4861338,42.8964515,10
France_Hautes-Pyrénées,-0.2278851,42.9054605,9
France_Hautes-Pyrénées,0.0057686,42.8964515,10
France_Hautes-Pyrénées,0.2517198,42.8964515,10
France_Hautes-Pyrénées,0.497671,42.8964515,10
France_Haute-Garonne,0.7436222,42.9234786,7
France_Ariège,0.9895734,42.8964515,10
France_Ariège,1.2355246,42.8964515,10
France_Ariège,1.4814758,42.8964515,10
France_Ariège,1.727427,42.8964515,10
France_Ariège,1.9733782,42.8964515,10
France_Aude,2.2193295,42.8964515,10
France_Aude,2.4652807,42.8964515,10
France_Aude,2.7112319,42.8964515,10
France_Aude,2.920285,42.9234786,7
France_Pyrenees-Atlantics,-1.2135188,43.1126677,6
France_Pyrenees-Atlantics,-0.9668457,43.0766317,10
France_Pyrenees-Atlantics,-0.7201725,43.0766317,10
France_Pyrenees-Atlantics,-0.4734993,43.0766317,10
France_Pyrenees-Atlantics,-0.2268261,43.0766317,10
France_Hautes-Pyrénées,0.0198471,43.0766317,10
France_Hautes-Pyrénées,0.2665203,43.0766317,10
France_Hautes-Pyrénées,0.5131934,43.0766317,10
France_Haute-Garonne,0.7598666,43.0766317,10
France_Ariège,1.0065398,43.0766317,10
France_Ariège,1.253213,43.0766317,10
France_Ariège,1.4998862,43.0766317,10
France_Ariège,1.7465594,43.0766317,10
France_Aude,1.9932326,43.0766317,10
France_Aude,2.2399057,43.0766317,10
France_Aude,2.4865789,43.0766317,10
France_Aude,2.7332521,43.0766317,10
France_Aude,2.9675916,43.0766317,9
France_Pyrenees-Atlantics,-1.3761068,43.3108659,4
France_Pyrenees-Atlantics,-1.202953,43.2568119,10
France_Pyrenees-Atlantics,-0.9555511,43.2568119,10
France_Pyrenees-Atlantics,-0.7081493,43.2568119,10
France_Pyrenees-Atlantics,-0.4607474,43.2568119,10
France_Pyrenees-Atlantics,-0.2133455,43.2568119,10
France_Hautes-Pyrénées,0.0340563,43.2568119,10
France_Hautes-Pyrénées,0.2814582,43.2568119,10
France_Hautes-Pyrénées,0.5288601,43.2568119,10
France_Haute-Garonne,0.7762619,43.2568119,10
France_Haute-Garonne,1.0236638,43.2568119,10
France_Haute-Garonne,1.2710657,43.2568119,10
France_Ariège,1.5184675,43.2568119,10
France_Aude,1.7658694,43.2568119,10
France_Aude,2.0132712,43.2568119,10
France_Aude,2.2606731,43.2568119,10
France_Aude,2.508075,43.2568119,10
France_Aude,2.7554768,43.2568119,10
France_Aude,3.0028787,43.2568119,10
France_Hérault,3.2131648,43.2838389,7
France_Bouches-du-Rhône,5.4768973,43.2838389,7
France_Bouches-du-Rhône,5.7366693,43.2658209,9
France_Var,5.9717011,43.2568119,10
France_Var,6.2191029,43.2568119,10
France_Var,6.4541347,43.2658209,9
France_Pyrenees-Atlantics,-1.4404262,43.4369921,10
France_Pyrenees-Atlantics,-1.1922888,43.4369921,10
France_Pyrenees-Atlantics,-0.9441515,43.4369921,10
France_Pyrenees-Atlantics,-0.6960142,43.4369921,10
France_Pyrenees-Atlantics,-0.4478769,43.4369921,10
France_Pyrenees-Atlantics,-0.1997395,43.4369921,10
France_Hautes-Pyrénées,0.0483978,43.4369921,10
France_Gers,0.2965351,43.4369921,10
France_Gers,0.5446724,43.4369921,10
France_Gers,0.7928097,43.4369921,10
France_Haute-Garonne,1.0409471,43.4369921,10
France_Haute-Garonne,1.2890844,43.4369921,10
France_Haute-Garonne,1.5372217,43.4369921,10
France_Haute-Garonne,1.785359,43.4369921,10
France_Tarn,2.0334964,43.4369921,10
France_Aude,2.2816337,43.4369921,10
France_Tarn,2.529771,43.4369921,10
France_Hérault,2.7779083,43.4369921,10
France_Hérault,3.0260456,43.4369921,10
France_Hérault,3.274183,43.4369921,10
France_Hérault,3.5223203,43.4369921,10
France_Hérault,3.7084048,43.4820371,5
France_Bouches-du-Rhône,4.5893385,43.4910461,4
France_Bouches-du-Rhône,4.9490914,43.4820371,5
France_Bouches-du-Rhône,5.308909,43.4369921,6
France_Bouches-du-Rhône,5.5074189,43.4369921,10
France_Var,5.7555562,43.4369921,10
France_Var,6.0036935,43.4369921,10
France_Var,6.2518308,43.4369921,10
France_Var,6.4999682,43.4369921,10
France_Var,6.7108793,43.4640191,7
France_Alpes-Maritimes,6.9093559,43.5000551,3
France_Landes,-1.368185,43.6171723,5
