Region,X coordinate,Y coordinate,Radius
Jamaica_Saint Elizabeth,-77.7109378,17.9674903,10
Jamaica_Manchester,-77.5215201,17.9674903,10
Jamaica_Clarendon,-77.3321023,17.9674903,10
Jamaica_Saint Catherine,-77.1521554,17.9764993,9
Jamaica_Saint Catherine,-76.9532668,17.9764993,9
Jamaica_Saint Andrew,-76.763849,18.0125353,5
Jamaica_Saint Thomas,-76.5649604,17.9764993,9
Jamaica_Saint Thomas,-76.3850135,17.9674903,10
Jamaica_Saint Elizabeth,-77.8998698,18.1476705,10
Jamaica_Saint Elizabeth,-77.7102578,18.1476705,10
Jamaica_Manchester,-77.5206457,18.1476705,10
Jamaica_Clarendon,-77.3310336,18.1476705,10
Jamaica_Saint Catherine,-77.1414216,18.1476705,10
Jamaica_Saint Catherine,-76.9518095,18.1476705,10
Jamaica_Saint Mary,-76.7621974,18.1476705,10
Jamaica_Portland,-76.5725853,18.1206434,7
Jamaica_Portland,-76.4208928,18.1116344,6
Jamaica_Hanover,-78.2505244,18.3278506,7
Jamaica_Westmoreland,-78.089187,18.3278506,10
Jamaica_Saint James,-77.8993784,18.3278506,10
Jamaica_Trelawny,-77.7095697,18.3278506,10
Jamaica_Trelawny,-77.5197611,18.3278506,10
Jamaica_Saint Ann,-77.3299524,18.3278506,10
Jamaica_Saint Ann,-77.1496342,18.3188416,9
Jamaica_Saint Mary,-76.9503351,18.3098326,8
