Region,X coordinate,Y coordinate,Radius
Ma'tan al-Sarra_Red Sea,33.6390353,21.7981141,5
Ma'tan al-Sarra_Red Sea,33.6293295,21.7981141,5
Ma'tan al-Sarra_Red Sea,33.6487289,21.7981141,5
Ma'tan al-Sarra_Red Sea,33.6681284,21.7981141,5
Ma'tan al-Sarra_Red Sea,33.6875278,21.7981141,5
Ma'tan al-Sarra_Red Sea,33.677822,21.7981141,5
Ma'tan al-Sarra_Red Sea,33.6972215,21.7981141,5
Ma'tan al-Sarra_Red Sea,33.7069182,21.8071231,4
Ma'tan al-Sarra_Red Sea,33.7263176,21.8071231,4
Ma'tan al-Sarra_Red Sea,33.6002802,21.8161321,5
Ma'tan al-Sarra_Red Sea,33.6099787,21.8071231,6
Ma'tan al-Sarra_Red Sea,33.5905732,21.771087,1
Ma'tan al-Sarra_Red Sea,33.6099751,21.771087,1
Ma'tan al-Sarra_Red Sea,33.6293769,21.771087,1
Ma'tan al-Sarra_Red Sea,33.6487788,21.771087,1
Ma'tan al-Sarra_Red Sea,33.6681807,21.771087,1
Ma'tan al-Sarra_Red Sea,33.6875826,21.771087,1
Ma'tan al-Sarra_Red Sea,33.7069845,21.771087,1
Ma'tan al-Sarra_Red Sea,33.7263864,21.771087,1
Ma'tan al-Sarra_Red Sea,33.7457883,21.771087,1
Ma'tan al-Sarra_Red Sea,33.7651902,21.771087,1
Ma'tan al-Sarra_Red Sea,33.7845921,21.771087,1
Ma'tan al-Sarra_Red Sea,33.803994,21.8161321,5
Ma'tan al-Sarra_Red Sea,33.8233959,21.8161321,5
Ma'tan al-Sarra_Red Sea,33.8427978,21.8161321,5
Ma'tan al-Sarra_Red Sea,33.8621997,21.8161321,5
Ma'tan al-Sarra_Red Sea,33.8816016,21.8161321,5
Ma'tan al-Sarra_Red Sea,33.8524926,21.8161321,5
Ma'tan al-Sarra_Red Sea,33.8718945,21.8161321,5
Ma'tan al-Sarra_Red Sea,33.8912964,21.8161321,5
Ma'tan al-Sarra_Red Sea,33.9009943,21.8251411,4
Ma'tan al-Sarra_Red Sea,33.9203962,21.8251411,4
Ma'tan al-Sarra_Red Sea,33.5809198,21.8341501,5
Ma'tan al-Sarra_Red Sea,33.5906195,21.8251411,6
Ma'tan al-Sarra_Red Sea,33.5712115,21.789105,1
Ma'tan al-Sarra_Red Sea,33.5906158,21.789105,1
Ma'tan al-Sarra_Red Sea,33.6100202,21.789105,1
Ma'tan al-Sarra_Red Sea,33.6294245,21.789105,1
Ma'tan al-Sarra_Red Sea,33.6488288,21.789105,1
Ma'tan al-Sarra_Red Sea,33.6682332,21.789105,1
Ma'tan al-Sarra_Red Sea,33.6876375,21.789105,1
Ma'tan al-Sarra_Red Sea,33.7070418,21.789105,1
Ma'tan al-Sarra_Red Sea,33.7264462,21.789105,1
Ma'tan al-Sarra_Red Sea,33.7458505,21.789105,1
Ma'tan al-Sarra_Red Sea,33.7652548,21.789105,1
Ma'tan al-Sarra_Red Sea,33.7846592,21.789105,1
Ma'tan al-Sarra_Red Sea,33.8040635,21.789105,1
Ma'tan al-Sarra_Red Sea,33.8234678,21.789105,1
Ma'tan al-Sarra_Red Sea,33.8428722,21.789105,1
Ma'tan al-Sarra_Red Sea,33.8622765,21.789105,1
Ma'tan al-Sarra_Red Sea,33.8816808,21.789105,1
