Region,X coordinate,Y coordinate,Radius
Aceh,95.3190122,5.383685,6
Aceh,95.2829762,5.5638651,1
Aceh,95.4991924,4.8431444,6
Aceh,95.4631564,5.0233246,10
Aceh,95.4631564,5.2035048,10
Aceh,95.4631564,5.383685,10
Aceh,95.4631564,5.5368381,7
Aceh,95.6703636,4.6899913,7
Aceh,95.6433366,4.8431444,10
Aceh,95.6433366,5.0233246,10
Aceh,95.6433366,5.2035048,10
Aceh,95.6433366,5.383685,10
Aceh,95.6433366,5.5368381,7
Aceh,95.8235167,2.6809823,2
Aceh,95.8235167,2.8611624,4
Aceh,95.8505438,4.5098111,7
Aceh,95.8235167,4.6629642,10
Aceh,95.8235167,4.8431444,10
Aceh,95.8235167,5.0233246,10
Aceh,95.8235167,5.2035048,10
Aceh,95.8235167,5.383685,10
Aceh,96.0036969,2.6809823,8
Aceh,96.0217149,4.3206219,8
Aceh,96.0036969,4.4827841,10
Aceh,96.0036969,4.6629642,10
Aceh,96.0036969,4.8431444,10
Aceh,96.0036969,5.0233246,10
Aceh,96.0036969,5.2035048,10
Aceh,96.1838771,4.3026039,10
Aceh,96.1838771,4.4827841,10
Aceh,96.1838771,4.6629642,10
Aceh,96.1838771,4.8431444,10
Aceh,96.1838771,5.0233246,10
Aceh,96.1838771,5.1854868,8
Aceh,96.3640573,3.9422435,1
Aceh,96.3640573,4.1224237,10
Aceh,96.3640573,4.3026039,10
Aceh,96.3640573,4.4827841,10
Aceh,96.3640573,4.6629642,10
Aceh,96.3640573,4.8431444,10
Aceh,96.3640573,5.0233246,10
Aceh,96.3640573,5.1674687,6
Aceh,96.5442375,3.8071084,5
Aceh,96.5442375,3.9422435,10
Aceh,96.5442375,4.1224237,10
Aceh,96.5442375,4.3026039,10
Aceh,96.5442375,4.4827841,10
Aceh,96.5442375,4.6629642,10
Aceh,96.5442375,4.8431444,10
Aceh,96.5442375,5.0233246,10
Aceh,96.5442375,5.1584597,5
Aceh,96.7244176,3.8071084,5
Aceh,96.7244176,3.9422435,10
Aceh,96.7244176,4.1224237,10
Aceh,96.7244176,4.3026039,10
Aceh,96.7244176,4.4827841,10
Aceh,96.7244176,4.6629642,10
Aceh,96.7244176,4.8431444,10
Aceh,96.7244176,5.0233246,10
Aceh,96.7244176,5.1674687,6
Aceh,96.9136068,3.7710723,9
Aceh,96.9045978,3.9422435,10
Aceh,96.9045978,4.1224237,10
Aceh,96.9045978,4.3026039,10
Aceh,96.9045978,4.4827841,10
Aceh,96.9045978,4.6629642,10
Aceh,96.9045978,4.8431444,10
Aceh,96.9045978,5.0233246,10
Aceh,96.9045978,5.1854868,8
North Sumatra,97.084778,1.419721,1
Aceh,97.093787,3.5908922,9
Aceh,97.084778,3.7620633,10
Aceh,97.084778,3.9422435,10
Aceh,97.084778,4.1224237,10
Aceh,97.084778,4.3026039,10
Aceh,97.084778,4.4827841,10
Aceh,97.084778,4.6629642,10
Aceh,97.084778,4.8431444,10
Aceh,97.084778,5.0233246,10
Aceh,97.084778,5.1584597,5
Aceh,97.2649582,2.1404417,1
Aceh,97.2649582,3.401703,10
Aceh,97.2649582,3.5818832,10
Aceh,97.2649582,3.7620633,10
Aceh,97.2649582,3.9422435,10
Aceh,97.2649582,4.1224237,10
Aceh,97.2649582,4.3026039,10
Aceh,97.2649582,4.4827841,10
Aceh,97.2649582,4.6629642,10
Aceh,97.2649582,4.8431444,10
Aceh,97.2649582,5.0233246,10
North Sumatra,97.4631564,1.0773786,8
North Sumatra,97.4451384,1.2395408,10
North Sumatra,97.4451384,1.401703,8
Aceh,97.4451384,3.0413426,10
Aceh,97.4451384,3.2215228,10
Aceh,97.4451384,3.401703,10
Aceh,97.4451384,3.5818832,10
Aceh,97.4451384,3.7620633,10
Aceh,97.4451384,3.9422435,10
Aceh,97.4451384,4.1224237,10
Aceh,97.4451384,4.3026039,10
Aceh,97.4451384,4.4827841,10
Aceh,97.4451384,4.6629642,10
Aceh,97.4451384,4.8431444,10
Aceh,97.4451384,5.0233246,10
Aceh,97.4451384,5.2035048,2
North Sumatra,97.6433366,0.8971985,8
North Sumatra,97.6253185,1.0593606,10
North Sumatra,97.5802735,1.2395408,5
Aceh,97.6703636,2.8611624,5
Aceh,97.6253185,3.0413426,10
Aceh,97.6253185,3.2215228,10
Aceh,97.6253185,3.401703,10
Aceh,97.6253185,3.5818832,10
Aceh,97.6253185,3.7620633,10
Aceh,97.6253185,3.9422435,10
Aceh,97.6253185,4.1224237,10
Aceh,97.6253185,4.3026039,10
Aceh,97.6253185,4.4827841,10
Aceh,97.6253185,4.6629642,10
Aceh,97.6253185,4.8431444,10
Aceh,97.6073005,5.0053066,8
North Sumatra,97.8054987,0.6990003,8
North Sumatra,97.8054987,0.8791804,10
North Sumatra,97.7784717,1.0323336,7
Aceh,97.8054987,2.3476489,7
Aceh,97.8054987,2.5008021,10
Aceh,97.8054987,2.6809823,10
Aceh,97.8054987,2.8611624,10
Aceh,97.8054987,3.0413426,10
Aceh,97.8054987,3.2215228,10
Aceh,97.8054987,3.401703,10
Aceh,97.8054987,3.5818832,10
North Sumatra,97.8054987,3.7620633,10
Aceh,97.8054987,3.9422435,10
Aceh,97.8054987,4.1224237,10
Aceh,97.8054987,4.3026039,10
Aceh,97.8054987,4.4827841,10
Aceh,97.8054987,4.6629642,10
Aceh,97.8054987,4.8431444,10
Aceh,98.0036969,2.3386399,8
Aceh,97.9856789,2.5008021,10
Aceh,97.9856789,2.6809823,10
Aceh,97.9856789,2.8611624,10
North Sumatra,97.9856789,3.0413426,10
North Sumatra,97.9856789,3.2215228,10
North Sumatra,97.9856789,3.401703,10
North Sumatra,97.9856789,3.5818832,10
North Sumatra,97.9856789,3.7620633,10
North Sumatra,97.9856789,3.9422435,10
Aceh,97.9856789,4.1224237,10
Aceh,97.9856789,4.3026039,10
Aceh,97.9676609,4.464766,8
North Sumatra,98.1658591,2.3206219,10
North Sumatra,98.1658591,2.5008021,10
North Sumatra,98.1658591,2.6809823,10
North Sumatra,98.1658591,2.8611624,10
North Sumatra,98.1658591,3.0413426,10
North Sumatra,98.1658591,3.2215228,10
North Sumatra,98.1658591,3.401703,10
North Sumatra,98.1658591,3.5818832,10
North Sumatra,98.1658591,3.7620633,10
North Sumatra,98.1658591,3.9422435,10
North Sumatra,98.120814,4.1224237,5
Aceh,98.1658591,4.3026039,10
Aceh,98.1658591,4.437739,5
North Sumatra,98.3460393,-0.0217205,2
North Sumatra,98.3460393,2.1404417,10
North Sumatra,98.3460393,2.3206219,10
North Sumatra,98.3460393,2.5008021,10
North Sumatra,98.3460393,2.6809823,10
North Sumatra,98.3460393,2.8611624,10
North Sumatra,98.3460393,3.0413426,10
North Sumatra,98.3460393,3.2215228,10
North Sumatra,98.3460393,3.401703,10
North Sumatra,98.3460393,3.5818832,10
North Sumatra,98.3460393,3.7620633,10
North Sumatra,98.3460393,3.9422435,10
North Sumatra,98.5262194,2.0053066,5
North Sumatra,98.5262194,2.1404417,10
North Sumatra,98.5262194,2.3206219,10
North Sumatra,98.5262194,2.5008021,10
North Sumatra,98.5262194,2.6809823,10
North Sumatra,98.5262194,2.8611624,10
North Sumatra,98.5262194,3.0413426,10
North Sumatra,98.5262194,3.2215228,10
North Sumatra,98.5262194,3.401703,10
North Sumatra,98.5262194,3.5818832,10
North Sumatra,98.5262194,3.7620633,10
North Sumatra,98.5082014,3.9242255,8
West Sumatra,98.7244176,-1.2649637,8
West Sumatra,98.7244176,-1.1208196,8
North Sumatra,98.7063996,0.1584597,1
North Sumatra,98.7063996,1.9602615,10
North Sumatra,98.7063996,2.1404417,10
North Sumatra,98.7063996,2.3206219,10
North Sumatra,98.7063996,2.5008021,10
North Sumatra,98.7063996,2.6809823,10
North Sumatra,98.7063996,2.8611624,10
North Sumatra,98.7063996,3.0413426,10
North Sumatra,98.7063996,3.2215228,10
North Sumatra,98.7063996,3.401703,10
North Sumatra,98.7063996,3.5818832,10
North Sumatra,98.6793726,3.7350363,7
West Sumatra,98.8865798,-1.6433421,2
West Sumatra,98.8865798,-1.4631619,10
West Sumatra,98.8865798,-1.2829817,10
West Sumatra,98.8685618,-1.1208196,8
North Sumatra,98.9316248,1.2395408,5
North Sumatra,98.8955888,1.42873,9
North Sumatra,98.8955888,1.5908922,9
North Sumatra,98.8865798,1.7800814,10
North Sumatra,98.8865798,1.9602615,10
North Sumatra,98.8865798,2.1404417,10
North Sumatra,98.8865798,2.3206219,10
North Sumatra,98.8865798,2.5008021,10
North Sumatra,98.8865798,2.6809823,10
North Sumatra,98.8865798,2.8611624,10
North Sumatra,98.8865798,3.0413426,10
North Sumatra,98.8865798,3.2215228,10
North Sumatra,98.8865798,3.401703,10
North Sumatra,98.8865798,3.5818832,10
West Sumatra,99.06676,-1.6433421,10
West Sumatra,99.048742,-1.4811799,8
North Sumatra,99.102796,0.6990003,6
North Sumatra,99.075769,0.8881895,9
North Sumatra,99.06676,1.0593606,10
