Region,X coordinate,Y coordinate,Radius
Netherlands Antilles_Bonaire,-68.2516414,12.047577,1
Netherlands Antilles_Curaçao,-68.8411817,12.065595,1
Netherlands Antilles_Curaçao,-68.8227566,12.065595,1
Netherlands Antilles_Curaçao,-68.8043316,12.065595,1
Netherlands Antilles_Curaçao,-68.7859065,12.065595,1
Netherlands Antilles_Curaçao,-68.7674815,12.065595,1
Netherlands Antilles_Bonaire,-68.2515802,12.065595,1
Netherlands Antilles_Bonaire,-68.2331551,12.065595,1
Netherlands Antilles_Curaçao,-68.8780126,12.0836131,1
Netherlands Antilles_Curaçao,-68.8595863,12.0836131,1
Netherlands Antilles_Curaçao,-68.84116,12.0836131,1
Netherlands Antilles_Curaçao,-68.8227337,12.0836131,1
Netherlands Antilles_Curaçao,-68.8043074,12.0836131,1
Netherlands Antilles_Curaçao,-68.7858811,12.0836131,1
Netherlands Antilles_Bonaire,-68.2699451,12.0836131,1
Netherlands Antilles_Bonaire,-68.2515188,12.0836131,1
Netherlands Antilles_,-68.2330925,12.0836131,1
Netherlands Antilles_Curaçao,-68.9148484,12.1016311,1
Netherlands Antilles_Curaçao,-68.8964208,12.1016311,1
Netherlands Antilles_Curaçao,-68.8779933,12.1016311,1
Netherlands Antilles_Curaçao,-68.8595658,12.1016311,1
Netherlands Antilles_Curaçao,-68.8411383,12.1016311,1
Netherlands Antilles_Curaçao,-68.8227107,12.1016311,1
Netherlands Antilles_Curaçao,-68.8042832,12.1016311,1
Netherlands Antilles_Bonaire,-68.2698849,12.1016311,1
Netherlands Antilles_Bonaire,-68.2514574,12.1016311,1
Netherlands Antilles_,-68.2330298,12.1016311,1
Netherlands Antilles_Curaçao,-68.9516891,12.1196491,1
Netherlands Antilles_Curaçao,-68.9332604,12.1196491,1
Netherlands Antilles_Curaçao,-68.9148316,12.1196491,1
Netherlands Antilles_Curaçao,-68.8964028,12.1196491,1
Netherlands Antilles_Curaçao,-68.877974,12.1196491,1
Netherlands Antilles_Curaçao,-68.8595453,12.1196491,1
Netherlands Antilles_Curaçao,-68.8411165,12.1196491,1
Netherlands Antilles_Curaçao,-68.8226877,12.1196491,1
Netherlands Antilles_Bonaire,-68.2698246,12.1196491,1
Netherlands Antilles_Bonaire,-68.2513958,12.1196491,1
Netherlands Antilles_Bonaire,-68.232967,12.1196491,1
Netherlands Antilles_Bonaire,-68.2145383,12.1196491,1
Netherlands Antilles_Curaçao,-68.9701048,12.1376671,1
Netherlands Antilles_Curaçao,-68.9516748,12.1376671,1
Netherlands Antilles_Curaçao,-68.9332448,12.1376671,1
Netherlands Antilles_Curaçao,-68.9148148,12.1376671,1
Netherlands Antilles_Curaçao,-68.8963848,12.1376671,1
Netherlands Antilles_Curaçao,-68.8779547,12.1376671,1
Netherlands Antilles_Curaçao,-68.8595247,12.1376671,1
Netherlands Antilles_Curaçao,-68.8410947,12.1376671,1
Netherlands Antilles_Curaçao,-68.8226647,12.1376671,1
Netherlands Antilles_Bonaire,-68.2697642,12.1376671,1
Netherlands Antilles_Bonaire,-68.2513342,12.1376671,1
Netherlands Antilles_Bonaire,-68.2329041,12.1376671,1
Netherlands Antilles_Bonaire,-68.2144741,12.1376671,1
Netherlands Antilles_Curaçao,-68.988523,12.1556851,1
Netherlands Antilles_Curaçao,-68.9700917,12.1556851,1
Netherlands Antilles_Curaçao,-68.9516605,12.1556851,1
Netherlands Antilles_Curaçao,-68.9332292,12.1556851,1
Netherlands Antilles_Curaçao,-68.9147979,12.1556851,1
Netherlands Antilles_Curaçao,-68.8963667,12.1556851,1
Netherlands Antilles_Curaçao,-68.8779354,12.1556851,1
Netherlands Antilles_Curaçao,-68.8595041,12.1556851,1
Netherlands Antilles_Curaçao,-68.8410729,12.1556851,1
Netherlands Antilles_Bonaire,-68.2697037,12.1556851,1
Netherlands Antilles_Bonaire,-68.2512724,12.1556851,1
Netherlands Antilles_Bonaire,-68.2328411,12.1556851,1
Netherlands Antilles_Bonaire,-68.2144099,12.1556851,1
Netherlands Antilles_,-69.0253761,12.1737032,1
Netherlands Antilles_Curaçao,-69.0069436,12.1737032,1
Netherlands Antilles_Curaçao,-68.9885111,12.1737032,1
Netherlands Antilles_Curaçao,-68.9700786,12.1737032,1
