Region,X coordinate,Y coordinate,Radius
Northern Mariana Islands_Tinian,145.6192999,14.935087,1
Northern Mariana Islands_Tinian,145.6193039,14.953105,1
Northern Mariana Islands_Tinian,145.6379534,14.953105,1
Northern Mariana Islands_Tinian,145.6006567,14.9711231,1
Northern Mariana Islands_Tinian,145.6193078,14.9711231,1
Northern Mariana Islands_Tinian,145.6379589,14.9711231,1
Northern Mariana Islands_Tinian,145.600659,14.9891411,1
Northern Mariana Islands_Tinian,145.6193117,14.9891411,1
Northern Mariana Islands_Tinian,145.6379644,14.9891411,1
Northern Mariana Islands_Tinian,145.6006614,15.0071591,1
Northern Mariana Islands_Tinian,145.6193156,15.0071591,1
Northern Mariana Islands_Tinian,145.6379699,15.0071591,1
Northern Mariana Islands_Tinian,145.6006637,15.0251771,1
Northern Mariana Islands_Tinian,145.6193196,15.0251771,1
Northern Mariana Islands_Tinian,145.6379754,15.0251771,1
Northern Mariana Islands_Tinian,145.6193235,15.0431951,1
Northern Mariana Islands_Tinian,145.6379809,15.0431951,1
Northern Mariana Islands_Tinian,145.6379864,15.0612132,1
Northern Mariana Islands_Saipan,145.6939942,15.1152672,1
Northern Mariana Islands_Saipan,145.7126579,15.1152672,1
Northern Mariana Islands_Saipan,145.6940045,15.1332852,1
Northern Mariana Islands_Saipan,145.7126698,15.1332852,1
Northern Mariana Islands_Saipan,145.7126817,15.1513032,1
Northern Mariana Islands_Saipan,145.7313486,15.1513032,1
Northern Mariana Islands_Saipan,145.7126937,15.1693213,1
Northern Mariana Islands_Saipan,145.7313622,15.1693213,1
Northern Mariana Islands_Saipan,145.7127056,15.1873393,1
Northern Mariana Islands_Saipan,145.7313757,15.1873393,1
Northern Mariana Islands_Saipan,145.7500458,15.1873393,1
Northern Mariana Islands_Saipan,145.7313893,15.2053573,1
Northern Mariana Islands_Saipan,145.7500609,15.2053573,1
Northern Mariana Islands_Saipan,145.7500761,15.2233753,1
Northern Mariana Islands_Saipan,145.7687494,15.2233753,1
Northern Mariana Islands_Saipan,145.7687662,15.2413933,1
