Region,X coordinate,Y coordinate,Radius
Panama_Veraguas,-80.7596521,7.3052091,9
Panama_Los Santos,-80.5780011,7.3142181,8
Panama_Los Santos,-80.4326813,7.3322361,6
Panama_Veraguas,-80.885931,7.5304343,4
Panama_Veraguas,-80.7587262,7.4763803,10
Panama_Los Santos,-80.5770011,7.4763803,10
Panama_Los Santos,-80.395276,7.4763803,10
Panama_Los Santos,-80.2135509,7.4943983,8
Panama_Los Santos,-80.068172,7.5124163,6
Panama_Darién,-78.0237635,7.4853893,9
Panama_Darién,-77.878384,7.5034073,7
Panama_Veraguas,-81.3031802,7.7016055,5
Panama_Veraguas,-80.9213979,7.6745785,8
Panama_Herrera,-80.7577772,7.6565605,10
Panama_Los Santos,-80.5759761,7.6565605,10
Panama_Los Santos,-80.3941751,7.6565605,10
Panama_Los Santos,-80.2123741,7.6565605,10
Panama_Los Santos,-80.0851105,7.6025064,4
Panama_Darién,-78.1671125,7.6565605,5
Panama_Emberá-Wounaan Comarca,-78.0307617,7.6565605,10
Panama_Darién,-77.8580508,7.6565605,9
Panama_Darién,-77.6217075,7.7016055,5
Panama_Darién,-77.4853587,7.6835875,7
Panama_Veraguas,-81.4843201,7.8367406,10
Panama_Veraguas,-81.3024412,7.8367406,10
Panama_Herrera,-80.9386836,7.8367406,10
Panama_Herrera,-80.7568048,7.8367406,10
Panama_Herrera,-80.574926,7.8367406,10
Panama_Los Santos,-80.3930471,7.8367406,10
Panama_Los Santos,-80.265729,7.7826866,4
Panama_Emberá-Wounaan Comarca,-78.2105013,7.8367406,10
Panama_Emberá-Wounaan Comarca,-78.0286225,7.8367406,10
Panama_Darién,-77.8467437,7.8367406,10
Panama_Darién,-77.6648649,7.8367406,10
Panama_Darién,-77.4829861,7.8367406,10
Panama_Darién,-77.3556739,7.8907947,4
Panama_Veraguas,-81.6201098,8.0619659,5
Panama_Veraguas,-81.483643,8.0169208,10
Panama_Veraguas,-81.3016845,8.0169208,10
Panama_Veraguas,-81.119726,8.0169208,10
Panama_Veraguas,-80.9377675,8.0169208,10
Panama_Herrera,-80.7558091,8.0169208,10
Panama_Herrera,-80.5738506,8.0169208,10
Panama_Herrera,-80.4464767,7.9628668,4
Panama_Darién,-78.2083904,8.0169208,10
Panama_Darién,-78.026432,8.0169208,10
Panama_Darién,-77.8444735,8.0169208,10
Panama_Darién,-77.662515,8.0169208,10
Panama_Darién,-77.4805565,8.0169208,10
Panama_Darién,-77.2985981,8.0169208,10
Panama_Chiriquí,-81.9835579,8.242146,5
Panama_Chiriquí,-81.84703,8.233137,6
Panama_Chiriquí,-81.655888,8.20611,9
Panama_Veraguas,-81.48295,8.197101,10
Panama_Veraguas,-81.30091,8.197101,10
Panama_Veraguas,-81.11887,8.197101,10
Panama_Veraguas,-80.93683,8.197101,10
Panama_Veraguas,-80.75479,8.197101,10
Panama_Coclé,-80.57275,8.197101,10
Panama_Darién,-78.178924,8.197101,7
Panama_Darién,-78.0514953,8.170074,7
Panama_Darién,-77.66011,8.197101,10
Panama_Emberá-Wounaan Comarca,-77.47807,8.197101,10
Panama_Emberá-Wounaan Comarca,-77.3324367,8.161065,6
Panama_Chiriquí,-82.7388923,8.3952992,8
Panama_Chiriquí,-82.5658753,8.3862902,9
Panama_Chiriquí,-82.4019643,8.3862902,9
Panama_Chiriquí,-82.2107347,8.3772812,10
Panama_Chiriquí,-82.0286113,8.3772812,10
Panama_Ngöbe-Buglé Comarca,-81.8464879,8.3772812,10
Panama_Ngöbe-Buglé Comarca,-81.6643645,8.3772812,10
Panama_Veraguas,-81.4822411,8.3772812,10
Panama_Veraguas,-81.3001177,8.3772812,10
Panama_Veraguas,-81.1179943,8.3772812,10
Panama_Veraguas,-80.9358709,8.3772812,10
Panama_Veraguas,-80.7537474,8.3772812,10
Panama_Coclé,-80.571624,8.3772812,10
Panama_Coclé,-80.3986068,8.3862902,9
Panama_Coclé,-80.2073772,8.3952992,8
Panama_Coclé,-80.079894,8.4313352,4
Panama_Darién,-77.9854717,8.3772812,6
Panama_Darién,-77.839773,8.3772812,10
Panama_Emberá-Wounaan Comarca,-77.6576496,8.3772812,10
Panama_Emberá-Wounaan Comarca,-77.4755262,8.3772812,10
Panama_Chiriquí,-82.7387561,8.5574614,8
Panama_Chiriquí,-82.5747683,8.5574614,10
Panama_Chiriquí,-82.3925596,8.5574614,10
Panama_Chiriquí,-82.2103509,8.5574614,10
Panama_Ngöbe-Buglé Comarca,-82.0281422,8.5574614,10
Panama_Ngöbe-Buglé Comarca,-81.8459335,8.5574614,10
Panama_Ngöbe-Buglé Comarca,-81.6637249,8.5574614,10
Panama_Veraguas,-81.4815162,8.5574614,10
Panama_Ngöbe-Buglé Comarca,-81.2993075,8.5574614,10
Panama_Veraguas,-81.1170988,8.5574614,10
Panama_Veraguas,-80.9348901,8.5574614,10
Panama_Coclé,-80.7526814,8.5574614,10
Panama_Coclé,-80.5704727,8.5574614,10
Panama_Coclé,-80.3882641,8.5574614,10
Panama_Coclé,-80.2060554,8.5574614,10
Panama_Panamá,-80.0238467,8.5574614,10
Panama_Panamá,-79.878081,8.5934974,6
Panama_Darién,-78.3839685,8.5574614,10
Panama_Darién,-78.2017598,8.5574614,10
Panama_Darién,-78.0195511,8.5574614,10
Panama_Emberá-Wounaan Comarca,-77.8373425,8.5574614,10
Panama_Emberá-Wounaan Comarca,-77.6551338,8.5574614,10
Panama_Emberá-Wounaan Comarca,-77.5184773,8.5574614,5
Panama_Chiriquí,-82.7568462,8.7376415,10
Panama_Chiriquí,-82.5745504,8.7376415,10
Panama_Chiriquí,-82.3922545,8.7376415,10
Panama_Chiriquí,-82.2099587,8.7376415,10
Panama_Ngöbe-Buglé Comarca,-82.0276628,8.7376415,10
Panama_Ngöbe-Buglé Comarca,-81.845367,8.7376415,10
Panama_Ngöbe-Buglé Comarca,-81.6630711,8.7376415,10
Panama_Ngöbe-Buglé Comarca,-81.4807753,8.7196235,8
Panama_Ngöbe-Buglé Comarca,-81.2984794,8.7106145,7
Panama_Veraguas,-81.1161836,8.7196235,8
Panama_Veraguas,-80.9338877,8.7376415,10
Panama_Veraguas,-80.7515919,8.7376415,10
Panama_Coclé,-80.569296,8.7376415,10
Panama_Coclé,-80.3870002,8.7376415,10
Panama_Coclé,-80.2047043,8.7376415,10
Panama_Panamá,-80.0224085,8.7376415,10
Panama_Panamá,-79.8492274,8.7466505,9
Panama_Panamá,-78.6916454,8.7916956,4
Panama_Panamá,-78.5549269,8.7466505,9
Panama_Darién,-78.3817458,8.7376415,10
Panama_Darién,-78.1994499,8.7376415,10
Panama_Darién,-78.0171541,8.7376415,10
Panama_Darién,-77.8348582,8.7376415,10
Panama_Emberá-Wounaan Comarca,-77.6616772,8.7286325,9
Panama_Chiriquí,-82.7020005,8.8637677,4
Panama_comarca Ngäbe-Buglé,-82.5743277,8.9178217,10
Panama_comarca Ngäbe-Buglé,-82.3919428,8.9178217,10
Panama_Ngöbe-Buglé Comarca,-82.2277962,8.8998037,8
Panama_Ngöbe-Buglé Comarca,-82.027173,8.8817857,6
Panama_Ngöbe-Buglé Comarca,-81.8447881,8.8817857,6
Panama_Ngöbe-Buglé Comarca,-81.6988788,8.8817857,6
Panama_Colón,-80.7231216,8.8907947,7
Panama_Colón,-80.5680938,8.9178217,10
Panama_Colón,-80.3857089,8.9178217,10
Panama_Coclé,-80.203324,8.9178217,10
Panama_Panamá,-80.0209391,8.9178217,10
Panama_Panamá,-79.8385542,8.9178217,10
Panama_Panamá,-79.6561693,8.9448487,7
Panama_Panamá,-78.8810312,8.9628668,5
Panama_Panamá,-78.7442447,8.9178217,10
Panama_Panamá,-78.5618598,8.9178217,10
Panama_Panamá,-78.3794749,8.9178217,10
Panama_Panamá,-78.19709,8.9178217,10
Panama_Darién,-78.0147051,8.9178217,10
Panama_Darién,-77.8414395,8.9088127,9
Panama_comarca Ngäbe-Buglé,-82.7565762,9.0980019,10
Panama_comarca Ngäbe-Buglé,-82.5741004,9.0980019,10
Panama_comarca Ngäbe-Buglé,-82.3916245,9.0980019,10
Panama_Colón,-80.5121267,9.0439478,4
Panama_Colón,-80.3843902,9.0709749,7
Panama_Colón,-80.1927905,9.0889929,9
Panama_Colón,-80.0194385,9.0980019,10
Panama_Panamá,-79.8369626,9.0980019,10
Panama_Panamá,-79.6544868,9.0980019,10
Panama_Panamá,-79.4720109,9.0980019,10
Panama_Panamá,-79.2895351,9.1070109,9
Panama_Panamá,-79.1435558,9.1340379,6
Panama_Panamá,-78.9063358,9.0980019,8
Panama_Panamá,-78.7421075,9.0980019,10
Panama_Panamá,-78.5596317,9.0980019,10
Panama_Panamá,-78.3771558,9.0980019,10
Panama_Panamá,-78.19468,9.0980019,10
Panama_Guna Yala,-78.0213279,9.0889929,9
Panama_Guna Yala,-77.8844676,9.0439478,4
Panama_comarca Ngäbe-Buglé,-82.756437,9.2781821,10
Panama_comarca Ngäbe-Buglé,-82.5738683,9.2781821,10
Panama_comarca Ngäbe-Buglé,-82.4369417,9.2781821,5
Panama_Colón,-79.9813942,9.242146,6
Panama_Colón,-79.8353379,9.2781821,10
Panama_Colón,-79.6527692,9.2781821,10
Panama_Panamá,-79.4702005,9.2781821,10
Panama_Panamá,-79.2876318,9.2781821,10
Panama_Panamá,-79.1050631,9.2781821,10
Panama_Panamá,-78.9224944,9.2781821,10
Panama_Panamá,-78.7399257,9.2781821,10
Panama_Panamá,-78.557357,9.2781821,10
Panama_Guna Yala,-78.393045,9.2601641,8
Panama_Guna Yala,-78.2378595,9.233137,5
Panama_comarca Ngäbe-Buglé,-82.7562948,9.4493532,9
Panama_comarca Ngäbe-Buglé,-82.5736314,9.4313352,7
Panama_comarca Ngäbe-Buglé,-82.4457634,9.4043082,4
Panama_Colón,-79.6327503,9.4403442,8
Panama_Panamá,-79.468353,9.4583623,10
Panama_Colón,-79.2948227,9.4493532,9
Panama_Colón,-79.1304249,9.4313352,7
