Region,X coordinate,Y coordinate,Radius
Portugal_Faro,-8.4742675,37.1434651,5
Portugal_Faro,-8.2483647,37.1434651,5
Portugal_Faro,-8.022462,37.1254471,7
Portugal_Faro,-7.7965592,37.1164381,8
Portugal_Faro,-7.6384474,37.1524741,4
Portugal_Faro,-8.8454975,37.2155372,3
Portugal_Faro,-8.6982815,37.2786003,10
Portugal_Faro,-8.4718391,37.2786003,10
Portugal_Faro,-8.2453967,37.2786003,10
Portugal_Faro,-8.0189543,37.2786003,10
Portugal_Faro,-7.7925118,37.2786003,10
Portugal_Faro,-7.5660694,37.2786003,10
Portugal_Beja,-8.6850265,37.4587805,9
Portugal_Beja,-8.4693889,37.4587805,10
Portugal_Beja,-8.242402,37.4587805,10
Portugal_Beja,-8.0154151,37.4587805,10
Portugal_Faro,-7.7884282,37.4587805,10
Portugal_Faro,-7.5727907,37.4497714,9
Portugal_Beja,-8.6830763,37.6389606,9
Portugal_Beja,-8.4669168,37.6389606,10
Portugal_Beja,-8.2393806,37.6389606,10
Portugal_Beja,-8.0118443,37.6389606,10
Portugal_Beja,-7.784308,37.6389606,10
Portugal_Beja,-7.5795268,37.6569786,8
Portugal_Setúbal,-8.6811085,37.8191408,9
Portugal_Beja,-8.4644225,37.8191408,10
Portugal_Beja,-8.236332,37.8191408,10
Portugal_Beja,-8.0082414,37.8191408,10
Portugal_Beja,-7.7801509,37.8191408,10
Portugal_Beja,-7.5520603,37.8191408,10
Portugal_Beja,-7.3695962,37.8551768,6
Portugal_Setúbal,-8.6905557,37.999321,10
Portugal_Setúbal,-8.4619058,37.999321,10
Portugal_Beja,-8.233256,37.999321,10
Portugal_Beja,-8.0046062,37.999321,10
Portugal_Beja,-7.7759564,37.999321,10
Portugal_Beja,-7.5473066,37.999321,10
Portugal_Beja,-7.3415232,38.017339,8
Portugal_Beja,-7.158623,38.053375,4
Portugal_Setúbal,-8.6656593,38.1795012,8
Portugal_Setúbal,-8.4593666,38.1795012,10
Portugal_Beja,-8.2301525,38.1795012,10
Portugal_Beja,-8.0009384,38.1795012,10
Portugal_Beja,-7.7717243,38.1795012,10
Portugal_Beja,-7.5425102,38.1795012,10
Portugal_Beja,-7.3132961,38.1795012,10
Portugal_Évora,-7.1528462,38.1795012,4
Portugal_Setúbal,-8.663611,38.3416633,8
Portugal_Setúbal,-8.4568045,38.3596814,10
Portugal_Évora,-8.227021,38.3596814,10
Portugal_Évora,-7.9972376,38.3596814,10
Portugal_Évora,-7.7674541,38.3596814,10
Portugal_Évora,-7.5376707,38.3596814,10
Portugal_Évora,-7.3308641,38.3416633,8
Portugal_Setúbal,-8.9149352,38.5758976,6
Portugal_Setúbal,-8.66154,38.5578795,8
Portugal_Évora,-8.4542193,38.5398615,10
Portugal_Évora,-8.2238614,38.5398615,10
Portugal_Évora,-7.9935035,38.5398615,10
Portugal_Évora,-7.7631456,38.5398615,10
Portugal_Évora,-7.5327876,38.5398615,10
Portugal_Évora,-7.3600192,38.5398615,5
Portugal_Lisbon,-9.3753612,38.7560777,6
Portugal_Lisbon,-9.1906199,38.7560777,6
Portugal_Setúbal,-8.8788498,38.6930147,7
Portugal_Setúbal,-8.6825485,38.7200417,10
Portugal_Évora,-8.451611,38.7200417,10
Portugal_Évora,-8.2206734,38.7200417,10
Portugal_Évora,-7.9897358,38.7200417,10
Portugal_Évora,-7.7587983,38.7200417,10
Portugal_Évora,-7.5278607,38.7200417,10
Portugal_Évora,-7.3431194,38.7560777,6
Portugal_Lisbon,-9.3403448,38.8731949,7
Portugal_Lisbon,-9.1551225,38.9092309,9
Portugal_Santarém,-8.8888702,38.9182399,8
Portugal_Santarém,-8.6805015,38.9002219,10
Portugal_Santarém,-8.4489791,38.9002219,10
Portugal_Évora,-8.2174566,38.9002219,10
Portugal_Évora,-7.9859342,38.9002219,10
Portugal_Évora,-7.7544118,38.9002219,10
Portugal_Évora,-7.5228894,38.9002219,10
Portugal_Portalegre,-7.2913669,38.9002219,10
Portugal_Portalegre,-7.1177251,38.9002219,5
Portugal_Lisbon,-9.3283512,39.0804021,6
Portugal_Lisbon,-9.1426612,39.0804021,10
Portugal_Lisbon,-8.9105486,39.0804021,10
Portugal_Santarém,-8.678436,39.0804021,10
Portugal_Santarém,-8.4463235,39.0804021,10
Portugal_Portalegre,-8.2142109,39.0804021,10
Portugal_Portalegre,-7.9820984,39.0804021,10
Portugal_Portalegre,-7.7499858,39.0804021,10
Portugal_Portalegre,-7.5178732,39.0804021,10
Portugal_Portalegre,-7.2857607,39.0804021,10
Portugal_Portalegre,-7.1000617,39.044366,6
Portugal_Leiria,-9.141768,39.2605823,10
