Region,X coordinate,Y coordinate,Radius
Serbia_Plužine,20.6390738,42.1536873,7
Serbia_Plužine,20.8820143,42.1717053,5
Serbia_Gjakova,20.4006452,42.3518855,5
Serbia_Plužine,20.6442798,42.3068405,10
Serbia_Suva Reka,20.8879145,42.3068405,10
Serbia_Uroševac/ferizaj,21.1315491,42.3068405,10
Serbia_Viti/Vitina,21.363002,42.3158495,9
Serbia_Pčinja,21.6188184,42.3338675,7
Serbia_Pčinja,21.7893365,42.3608945,4
Serbia_Pčinja,22.1060877,42.3518855,5
Serbia_Dečani,20.2463808,42.4870206,3
Serbia_Gjakova,20.4051987,42.4870206,10
Serbia_Mališevo,20.6495339,42.4870206,10
Serbia_Lipljan,20.893869,42.4870206,10
Serbia_Lipljan,21.1382042,42.4870206,10
Serbia_Gnjilane,21.3825394,42.4870206,10
Serbia_Kosovo-Pomoravlje,21.6268746,42.4870206,10
Serbia_Pčinja,21.8712098,42.4870206,10
Serbia_Pčinja,22.1155449,42.4870206,10
Serbia_Pčinja,22.3598801,42.4870206,10
Serbia_Peja,20.2015084,42.6672008,7
Serbia_Peja,20.4097942,42.6672008,10
Serbia_Klina,20.6548364,42.6672008,10
Serbia_Glogovac,20.8998786,42.6672008,10
Serbia_Kosovo and Metohija,21.1449208,42.6672008,10
Serbia_Kosovo and Metohija,21.389963,42.6672008,10
Serbia_Kosovo-Pomoravlje,21.6350052,42.6672008,10
Serbia_Pčinja,21.8800474,42.6672008,10
Serbia_Pčinja,22.1250895,42.6672008,10
Serbia_Pčinja,22.3456275,42.6672008,8
Serbia_Istok,20.4512957,42.847381,7
Serbia_Zubin Potok,20.660188,42.847381,10
Serbia_Kosovska Mitrovica,20.9059438,42.847381,10
Serbia_Podujevo/Podujeva,21.1516995,42.847381,10
Serbia_Podujevo/Podujeva,21.3974552,42.847381,10
Serbia_Jablanica,21.643211,42.847381,10
Serbia_Jablanica,21.8889667,42.847381,10
Serbia_Jablanica,22.1347225,42.847381,10
Serbia_Jablanica,22.3559008,42.865399,8
Serbia_Raška,20.1726374,43.0455792,8
Serbia_Raška,20.4191133,43.0275612,10
Serbia_Zvečan,20.6655892,43.0275612,10
Serbia_Leposavić,20.9120651,43.0275612,10
Serbia_Toplica,21.158541,43.0275612,10
Serbia_Toplica,21.4050169,43.0275612,10
Serbia_Jablanica,21.6514928,43.0275612,10
Serbia_Jablanica,21.8979687,43.0275612,10
Serbia_Jablanica,22.1444446,43.0275612,10
Serbia_Pirot,22.3909205,43.0275612,10
Serbia_Pirot,22.6373964,43.0275612,10
Serbia_Zlatibor,19.6822296,43.2437774,6
Serbia_Zlatibor,19.9294324,43.2077414,10
Serbia_Zlatibor,20.1766351,43.2077414,10
Serbia_Raška,20.4238378,43.2077414,10
Serbia_Leposavić,20.6710406,43.2077414,10
Serbia_Rasina,20.9182433,43.2077414,10
Serbia_Toplica,21.1654461,43.2077414,10
Serbia_Toplica,21.4126488,43.2077414,10
Serbia_Toplica,21.6598516,43.2077414,10
Serbia_Nišava,21.9070543,43.2077414,10
Serbia_Pirot,22.1542571,43.2077414,10
Serbia_Pirot,22.4014598,43.2077414,10
Serbia_Pirot,22.6486625,43.2077414,10
Serbia_Zlatibor,19.5112418,43.3879215,4
Serbia_Zlatibor,19.6847972,43.3879215,10
Serbia_Zlatibor,19.9327336,43.3879215,10
Serbia_Moravica,20.1806699,43.3879215,10
Serbia_Raška,20.4286063,43.3879215,10
Serbia_Raška,20.6765426,43.3879215,10
Serbia_Rasina,20.924479,43.3879215,10
Serbia_Rasina,21.1724153,43.3879215,10
Serbia_Rasina,21.4203517,43.3879215,10
Serbia_Nišava,21.668288,43.3879215,10
Serbia_Nišava,21.9162244,43.3879215,10
Serbia_Nišava,22.1641607,43.3879215,10
Serbia_Zaječar,22.4120971,43.3879215,10
Serbia_Pirot,22.6600334,43.3518855,6
Serbia_Zlatibor,19.5257488,43.5681017,3
Serbia_Zlatibor,19.6873888,43.5681017,10
Serbia_Zlatibor,19.9360656,43.5681017,10
Serbia_Moravica,20.1847423,43.5681017,10
Serbia_Raška,20.4334191,43.5681017,10
Serbia_Raška,20.6820959,43.5681017,10
Serbia_Rasina,20.9307727,43.5681017,10
Serbia_Rasina,21.1794495,43.5681017,10
Serbia_Rasina,21.4281263,43.5681017,10
Serbia_Nišava,21.6768031,43.5681017,10
Serbia_Zaječar,21.9254799,43.5681017,10
Serbia_Zaječar,22.1741567,43.5681017,10
Serbia_Zaječar,22.3855375,43.5410747,7
Serbia_Zlatibor,19.5154358,43.8023359,4
Serbia_Zlatibor,19.6900045,43.7482819,10
Serbia_Zlatibor,19.9394286,43.7482819,10
Serbia_Moravica,20.1888528,43.7482819,10
Serbia_Moravica,20.4382769,43.7482819,10
Serbia_Raška,20.687701,43.7482819,10
Serbia_Pomoravski,20.9371252,43.7482819,10
Serbia_Pomoravski,21.1865493,43.7482819,10
Serbia_Pomoravski,21.4359734,43.7482819,10
Serbia_Nišava,21.6853976,43.7482819,10
Serbia_Zaječar,21.9348217,43.7482819,10
Serbia_Zaječar,22.1842459,43.7482819,10
Serbia_Zaječar,22.3463715,43.7482819,3
Serbia_Zlatibor,19.4924905,43.892426,6
Serbia_Zlatibor,19.6926447,43.9284621,10
Serbia_Zlatibor,19.9428231,43.9284621,10
Serbia_Moravica,20.1930016,43.9284621,10
Serbia_Moravica,20.4431801,43.9284621,10
Serbia_Šumadija,20.6933585,43.9284621,10
Serbia_Šumadija,20.943537,43.9284621,10
Serbia_Pomoravski,21.1937155,43.9284621,10
Serbia_Pomoravski,21.443894,43.9284621,10
Serbia_Pomoravski,21.6940724,43.9284621,10
Serbia_Zaječar,21.9442509,43.9284621,10
Serbia_Zaječar,22.1944294,43.9284621,10
Serbia_Zaječar,22.3570454,43.9284621,3
Serbia_Mačva,19.5196804,44.1626963,4
Serbia_Zlatibor,19.7078566,44.1086423,9
Serbia_Kolubara,19.9462494,44.1086423,10
Serbia_Moravica,20.1971893,44.1086423,10
Serbia_Moravica,20.4481292,44.1086423,10
Serbia_Šumadija,20.6990691,44.1086423,10
Serbia_Šumadija,20.9500089,44.1086423,10
Serbia_Pomoravski,21.2009488,44.1086423,10
Serbia_Pomoravski,21.4518887,44.1086423,10
Serbia_Braničevo,21.7028286,44.1086423,10
Serbia_Braničevo,21.9537684,44.1086423,10
Serbia_Zaječar,22.2047083,44.1086423,10
Serbia_Bor,22.4431012,44.1176513,9
Serbia_Mačva,19.1945826,44.3338675,5
Serbia_Mačva,19.4462911,44.2888224,10
Serbia_Kolubara,19.6979995,44.2888224,10
Serbia_Kolubara,19.9497079,44.2888224,10
Serbia_Kolubara,20.2014163,44.2888224,10
Serbia_Šumadija,20.4531247,44.2888224,10
Serbia_Šumadija,20.7048332,44.2888224,10
Serbia_Podunavlje,20.9565416,44.2888224,10
Serbia_Braničevo,21.20825,44.2888224,10
Serbia_Braničevo,21.4599584,44.2888224,10
Serbia_Braničevo,21.7116668,44.2888224,10
Serbia_Bor,21.9633753,44.2888224,10
Serbia_Bor,22.2150837,44.2888224,10
Serbia_Bor,22.4416232,44.2708044,8
Serbia_Mačva,19.2209928,44.4509846,8
Serbia_Mačva,19.4482305,44.4690026,10
Serbia_Mačva,19.7007147,44.4690026,10
Serbia_Kolubara,19.9531989,44.4690026,10
Serbia_Kolubara,20.2056831,44.4690026,10
Serbia_Belgrade,20.4581673,44.4690026,10
Serbia_Belgrade,20.7106515,44.4690026,10
Serbia_Podunavlje,20.9631357,44.4690026,10
Serbia_Braničevo,21.2156199,44.4690026,10
Serbia_Braničevo,21.468104,44.4690026,10
Serbia_Braničevo,21.7205882,44.4690026,10
Serbia_Bor,21.9604482,44.4599936,9
Serbia_Bor,22.2634234,44.4419756,7
Serbia_Bor,22.4022956,44.4690026,4
Serbia_Mačva,19.2855232,44.5861197,3
Serbia_Mačva,19.4501882,44.6491828,10
Serbia_Mačva,19.7034555,44.6491828,10
Serbia_Srem,19.9567227,44.6491828,10
Serbia_Belgrade,20.20999,44.6491828,10
Serbia_Belgrade,20.4632573,44.6491828,10
Serbia_Belgrade,20.7165246,44.6491828,10
Serbia_Podunavlje,20.9697919,44.6491828,10
Serbia_Braničevo,21.2230591,44.6491828,10
Serbia_Braničevo,21.4763264,44.6491828,10
Serbia_Braničevo,21.7295937,44.6041377,5
Serbia_Braničevo,21.9069103,44.5951287,4
Serbia_Bor,22.3247305,44.5861197,3
Serbia_Bor,22.4514113,44.6221558,7
Serbia_Mačva,19.4775702,44.829363,8
Serbia_Mačva,19.7062221,44.829363,10
Serbia_Srem,19.9602799,44.829363,10
Serbia_Belgrade,20.2143376,44.829363,10
Serbia_Belgrade,20.4683954,44.829363,10
Serbia_South Banat,20.7224531,44.829363,10
Serbia_South Banat,20.9765109,44.829363,10
Serbia_South Banat,21.2305687,44.829363,10
Serbia_Srem,19.2247911,45.0275612,8
Serbia_Srem,19.4541593,45.0095432,10
Serbia_Srem,19.709015,45.0095432,10
Serbia_Srem,19.9638707,45.0095432,10
Serbia_Srem,20.2187264,45.0095432,10
Serbia_South Banat,20.4735821,45.0095432,10
Serbia_South Banat,20.7284378,45.0095432,10
Serbia_South Banat,20.9832935,45.0095432,10
Serbia_South Banat,21.2381492,45.0095432,10
Serbia_Srem,19.2005118,45.1446783,5
Serbia_Srem,19.5072932,45.1536873,6
Serbia_South Bačka,19.7118343,45.1897233,10
Serbia_South Bačka,19.9674955,45.1897233,10
Serbia_South Bačka,20.2231567,45.1897233,10
Serbia_South Banat,20.478818,45.1897233,10
Serbia_Central Banat,20.7344792,45.1897233,10
Serbia_South Banat,20.9901404,45.1897233,10
Serbia_South Banat,21.2074585,45.1626963,7
Serbia_South Bačka,19.2017316,45.3699035,10
Serbia_South Bačka,19.458206,45.3699035,10
Serbia_South Bačka,19.7146804,45.3699035,10
Serbia_South Bačka,19.9711548,45.3699035,10
Serbia_South Bačka,20.2276292,45.3699035,10
Serbia_Central Banat,20.4841036,45.3699035,10
Serbia_Central Banat,20.740578,45.3699035,10
Serbia_Central Banat,20.9201407,45.3158495,4
Serbia_West Bačka,19.2158277,45.5500837,9
Serbia_West Bačka,19.4602583,45.5500837,10
Serbia_South Bačka,19.7175536,45.5500837,10
Serbia_South Bačka,19.9748489,45.5500837,10
Serbia_Central Banat,20.2321442,45.5500837,10
Serbia_Central Banat,20.4894395,45.5500837,10
Serbia_Central Banat,20.6952757,45.5500837,6
Serbia_West Bačka,19.2042061,45.7302639,10
Serbia_West Bačka,19.4623301,45.7302639,10
Serbia_North Bačka,19.7204542,45.7302639,10
Serbia_South Bačka,19.9785782,45.7302639,10
Serbia_Central Banat,20.2367023,45.7302639,10
Serbia_North Banat,20.4948263,45.7302639,10
Serbia_Central Banat,20.6884402,45.6852188,5
Serbia_West Bačka,18.9853382,45.883417,7
Serbia_West Bačka,19.2184091,45.901435,9
Serbia_North Bačka,19.4644218,45.9104441,10
Serbia_North Bačka,19.7233825,45.9104441,10
Serbia_North Banat,19.9823433,45.9104441,10
Serbia_North Banat,20.241304,45.9104441,10
Serbia_North Banat,20.5002647,45.865399,5
Serbia_North Bačka,19.5314637,46.0455792,5
Serbia_North Bačka,19.7263389,46.0816152,9
Serbia_North Banat,19.9861444,46.0816152,9
Serbia_North Banat,20.2459498,46.0455792,5
