Region,X coordinate,Y coordinate,Radius
Switzerland_Valais,7.1325241,45.9555661,6
Switzerland_Valais,7.3915272,45.9735841,4
Switzerland_Valais,6.8764788,46.1537643,4
Switzerland_Valais,7.136327,46.0997103,10
Switzerland_Valais,7.3961752,46.0997103,10
Switzerland_Valais,7.6560235,46.0997103,10
Switzerland_Valais,7.9158717,46.0997103,10
Switzerland_Valais,8.0847284,46.1627733,3
Switzerland_Ticino,8.7734027,46.1537643,4
Switzerland_Ticino,8.9552646,46.1177283,8
Switzerland_Valais,6.9055352,46.2798905,8
Switzerland_Vaud,7.1401665,46.2798905,10
Switzerland_Valais,7.4008679,46.2798905,10
Switzerland_Valais,7.6615694,46.2798905,10
Switzerland_Valais,7.9222708,46.2798905,10
Switzerland_Verbano-Cusio-Ossola,8.1047618,46.2798905,4
Switzerland_Ticino,8.508849,46.2798905,5
Switzerland_Ticino,8.7043751,46.2798905,10
Switzerland_Ticino,8.9650766,46.2798905,10
Switzerland_Grisons,9.1736377,46.2798905,6
Switzerland_Vaud,6.1631822,46.4600706,5
Switzerland_Vaud,6.3201134,46.4870977,7
Switzerland_Vaud,6.9086363,46.4600706,8
Switzerland_Vaud,7.1440429,46.4600706,10
Switzerland_Bern,7.4056058,46.4600706,10
Switzerland_Bern,7.6671687,46.4600706,10
Switzerland_Valais,7.9287315,46.4600706,10
Switzerland_Valais,8.1772163,46.4690796,9
Switzerland_Ticino,8.5303262,46.4600706,4
Switzerland_Ticino,8.7134202,46.4600706,10
Switzerland_Ticino,8.974983,46.4600706,10
Switzerland_Grisons,9.1842203,46.4961067,6
Switzerland_Grisons,9.5504344,46.4961067,6
Switzerland_Grisons,9.7596717,46.4600706,10
Switzerland_Grisons,9.9558222,46.5051157,5
Switzerland_Vaud,6.1900319,46.5771877,3
Switzerland_Vaud,6.3869,46.6222328,8
Switzerland_Vaud,6.6230916,46.6402508,10
Switzerland_Fribourg,6.8855242,46.6402508,10
Switzerland_Fribourg,7.1479568,46.6402508,10
Switzerland_Bern,7.4103894,46.6402508,10
Switzerland_Bern,7.672822,46.6402508,10
Switzerland_Bern,7.9352547,46.6402508,10
Switzerland_Bern,8.1976873,46.6402508,10
Switzerland_Uri,8.4601199,46.6402508,10
Switzerland_Grisons,8.7225525,46.6402508,10
Switzerland_Grisons,8.9849852,46.6402508,10
Switzerland_Grisons,9.2474178,46.6402508,10
Switzerland_Grisons,9.5098504,46.6402508,10
Switzerland_Grisons,9.772283,46.6402508,10
Switzerland_Grisons,10.0084702,46.6582688,8
Switzerland_Grisons,10.2971483,46.6762868,6
Switzerland_Vaud,6.625287,46.820431,10
Switzerland_Fribourg,6.8885978,46.820431,10
Switzerland_Fribourg,7.1519085,46.820431,10
Switzerland_Bern,7.4152193,46.820431,10
Switzerland_Bern,7.6785301,46.820431,10
Switzerland_Lucerne,7.9418409,46.820431,10
Switzerland_Obwalden,8.2051517,46.820431,10
Switzerland_Obwalden,8.4684625,46.820431,10
Switzerland_Uri,8.7317733,46.820431,10
Switzerland_Glarus,8.995084,46.820431,10
Switzerland_Grisons,9.2583948,46.820431,10
Switzerland_Grisons,9.5217056,46.820431,10
Switzerland_Grisons,9.7850164,46.820431,10
Switzerland_Grisons,10.0088372,46.793404,7
Switzerland_Grisons,10.311638,46.811422,9
Switzerland_Neuchâtel,6.7067629,47.0006112,4
Switzerland_Neuchâtel,6.8917011,47.0006112,10
Switzerland_Bern,7.1558986,47.0006112,10
Switzerland_Bern,7.4200961,47.0006112,10
Switzerland_Bern,7.6842936,47.0006112,10
Switzerland_Bern,7.948491,47.0006112,10
Switzerland_Lucerne,8.2126885,47.0006112,10
Switzerland_Lucerne,8.476886,47.0006112,10
Switzerland_Schwyz,8.7410834,47.0006112,10
Switzerland_Glarus,9.0052809,47.0006112,10
Switzerland_St. Gallen,9.2694784,47.0006112,10
Switzerland_St. Gallen,9.5072583,46.9825932,8
Switzerland_Grisons,9.7978733,46.9555661,5
Switzerland_Bern,6.9478398,47.1447553,6
Switzerland_Bern,7.1599275,47.1807914,10
Switzerland_Solothurn,7.4250203,47.1807914,10
Switzerland_Bern,7.690113,47.1807914,10
Switzerland_Lucerne,7.9552058,47.1807914,10
Switzerland_Lucerne,8.2202986,47.1807914,10
Switzerland_Zug,8.4853914,47.1807914,10
Switzerland_Schwyz,8.7504841,47.1807914,10
Switzerland_St. Gallen,9.0155769,47.1807914,10
Switzerland_St. Gallen,9.2806697,47.1807914,10
Switzerland_St. Gallen,9.4397254,47.1807914,2
Switzerland_Jura,7.1639956,47.3519625,9
Switzerland_Jura,7.4432923,47.3519625,9
Switzerland_Solothurn,7.6959893,47.3609715,10
Switzerland_Solothurn,7.9619861,47.3609715,10
Switzerland_Aargau,8.2279829,47.3609715,10
Switzerland_Zürich,8.4939797,47.3609715,10
Switzerland_Zürich,8.7599765,47.3609715,10
Switzerland_St. Gallen,9.0259733,47.3609715,10
Switzerland_Appenzell Ausserrhoden,9.2919701,47.3609715,10
Switzerland_St. Gallen,9.5047676,47.3609715,6
Switzerland_Solothurn,7.5283835,47.4780886,3
Switzerland_Basel-Landschaft,7.7019229,47.4961067,5
Switzerland_Aargau,7.9688326,47.4961067,5
Switzerland_Aargau,8.2357423,47.5321427,9
Switzerland_Zürich,8.5026519,47.5141247,7
Switzerland_Zürich,8.7695616,47.5411517,10
Switzerland_Thurgau,9.0364713,47.5411517,10
Switzerland_Thurgau,9.303381,47.5411517,10
Switzerland_St. Gallen,9.4902521,47.4870977,4
