Region,X coordinate,Y coordinate,Radius
Togo_Maritime,1.2095179,6.2266761,6
Togo_Maritime,1.3907549,6.2266761,6
Togo_Maritime,0.8927154,6.4158653,5
Togo_Maritime,1.0468187,6.3888383,8
Togo_Maritime,1.2099884,6.3708203,10
Togo_Maritime,1.3912882,6.3708203,10
Togo_Maritime,1.572588,6.3708203,10
Togo_Maritime,0.847744,6.5510005,10
Togo_Maritime,1.0291084,6.5510005,10
Togo_Maritime,1.2104727,6.5510005,10
Togo_Maritime,1.3918371,6.5510005,10
Togo_Maritime,1.5550652,6.5329824,8
Togo_Plateaux,0.7029647,6.7311806,6
Togo_Plateaux,0.8481093,6.7311806,10
Togo_Maritime,1.0295401,6.7311806,10
Togo_Maritime,1.2109709,6.7311806,10
Togo_Maritime,1.3924016,6.7311806,10
Togo_Maritime,1.5375463,6.7311806,6
Togo_Plateaux,0.6669857,6.9113608,10
Togo_Plateaux,0.8484847,6.9113608,10
Togo_Plateaux,1.0299838,6.9113608,10
Togo_Plateaux,1.2114828,6.9113608,10
Togo_Plateaux,1.3929819,6.9113608,10
Togo_Plateaux,1.5291079,6.8663158,5
Togo_Plateaux,0.6945366,7.091541,7
Togo_Plateaux,0.8488703,7.091541,10
Togo_Plateaux,1.0304395,7.091541,10
Togo_Plateaux,1.2120086,7.091541,10
Togo_Plateaux,1.3935778,7.091541,10
Togo_Plateaux,1.55699,7.091541,8
Togo_Plateaux,0.7130353,7.2717212,5
Togo_Plateaux,0.8492661,7.2717212,10
Togo_Plateaux,1.0309072,7.2717212,10
Togo_Plateaux,1.2125483,7.2717212,10
Togo_Plateaux,1.3941895,7.2717212,10
Togo_Plateaux,1.5576665,7.2717212,8
Togo_Plateaux,0.6861289,7.4699194,8
Togo_Plateaux,0.8496721,7.4519014,10
Togo_Plateaux,1.031387,7.4519014,10
Togo_Plateaux,1.213102,7.4519014,10
Togo_Plateaux,1.3948169,7.4519014,10
Togo_Plateaux,1.5583603,7.4519014,8
Togo_Plateaux,0.6682977,7.6320815,10
Togo_Plateaux,0.8500883,7.6320815,10
Togo_Plateaux,1.0318789,7.6320815,10
Togo_Plateaux,1.2136695,7.6320815,10
Togo_Plateaux,1.3954601,7.6320815,10
Togo_Plateaux,1.5590717,7.6320815,8
Togo_Plateaux,0.6868334,7.8122617,8
Togo_Plateaux,0.8505148,7.8122617,10
Togo_Plateaux,1.0323829,7.8122617,10
Togo_Plateaux,1.214251,7.8122617,10
Togo_Plateaux,1.3961192,7.8122617,10
Togo_Plateaux,1.5598005,7.8122617,8
Togo_Centre,0.6871987,7.9924419,8
Togo_Centre,0.8509515,7.9924419,10
Togo_Centre,1.032899,7.9924419,10
Togo_Centre,1.2148466,7.9924419,10
Togo_Plateaux,1.3967941,7.9924419,10
Togo_Plateaux,1.5605469,7.9924419,8
Togo_Centre,0.6875726,8.1726221,8
Togo_Centre,0.8513985,8.1726221,10
Togo_Centre,1.0334273,8.1726221,10
Togo_Centre,1.2154561,8.1726221,10
Togo_Plateaux,1.3974849,8.1726221,10
Togo_Plateaux,1.5613109,8.1726221,8
Togo_Centre,0.8518558,8.3528023,10
Togo_Centre,1.0339678,8.3528023,10
Togo_Centre,1.2160797,8.3528023,10
Togo_Plateaux,1.3981917,8.3528023,10
Togo_Plateaux,1.5529869,8.3528023,7
Togo_Centre,0.6883464,8.5510005,8
Togo_Centre,0.8523234,8.5329824,10
Togo_Centre,1.0345204,8.5329824,10
Togo_Centre,1.2167174,8.5329824,10
Togo_Centre,1.3989144,8.5329824,10
Togo_Centre,1.5537818,8.5329824,7
Togo_Centre,0.4973478,8.7131626,9
Togo_Centre,0.6705175,8.7131626,10
Togo_Centre,0.8528014,8.7131626,10
Togo_Centre,1.0350853,8.7131626,10
Togo_Centre,1.2173692,8.7131626,10
Togo_Centre,1.3996531,8.7131626,10
Togo_Centre,1.5545944,8.7131626,7
Togo_Centre,0.6709171,8.8933428,10
Togo_Centre,0.8532898,8.8933428,10
Togo_Centre,1.0356625,8.8933428,10
Togo_Centre,1.2180352,8.8933428,10
Togo_Centre,1.4004079,8.8933428,10
Togo_Centre,1.5554247,8.8933428,7
Togo_Kara,0.5253545,9.073523,6
Togo_Kara,0.6713252,9.073523,10
Togo_Kara,0.8537886,9.073523,10
Togo_Centre,1.036252,9.073523,10
Togo_Centre,1.2187154,9.073523,10
Togo_Centre,1.4011788,9.073523,10
Togo_Centre,1.5471495,9.073523,6
Togo_Kara,0.6717419,9.2537032,10
Togo_Kara,0.8542978,9.2537032,10
Togo_Kara,1.0368538,9.2537032,10
Togo_Kara,1.2194098,9.2537032,10
Togo_Centre,1.3837104,9.2356851,8
Togo_Kara,0.5443153,9.4879374,4
Togo_Kara,0.672167,9.4338833,10
Togo_Kara,0.8548175,9.4338833,10
Togo_Kara,1.037468,9.4338833,10
Togo_Kara,1.2201184,9.4338833,10
Togo_Kara,1.3479773,9.3798293,4
Togo_Kara,0.3253818,9.6140635,8
Togo_Kara,0.489854,9.6140635,10
Togo_Kara,0.6726008,9.6140635,10
Togo_Kara,0.8553477,9.6140635,10
Togo_Kara,1.0380945,9.6140635,10
Togo_Kara,1.2208413,9.6140635,10
Togo_Kara,0.3622027,9.7401896,4
Togo_Kara,0.490198,9.7942437,10
Togo_Kara,0.6730432,9.7942437,10
Togo_Kara,0.8558883,9.7942437,10
Togo_Kara,1.0387335,9.7942437,10
Togo_Kara,1.2215786,9.7942437,10
Togo_Savanes,0.4905488,9.9744239,10
Togo_Savanes,0.6734942,9.9744239,10
Togo_Kara,0.8564395,9.9744239,10
Togo_Kara,1.0393849,9.9744239,10
Togo_Kara,1.213183,9.9654149,9
Togo_Savanes,0.4909063,10.1546041,10
Togo_Savanes,0.6739538,10.1546041,10
Togo_Kara,0.8570013,10.1546041,10
Togo_Kara,1.0400488,10.118568,6
Togo_Savanes,0.3630684,10.3888383,4
Togo_Savanes,0.4912705,10.3347842,10
Togo_Savanes,0.6744221,10.3347842,10
Togo_Savanes,0.8117884,10.2897392,5
Togo_Savanes,0.1709434,10.5600095,5
Togo_Savanes,0.3083839,10.5149644,10
Togo_Savanes,0.4916415,10.5149644,10
Togo_Savanes,0.6748991,10.5149644,10
Togo_Savanes,-0.0214041,10.6951446,6
Togo_Savanes,0.1252883,10.6951446,10
Togo_Savanes,0.3086538,10.6951446,10
Togo_Savanes,0.4920193,10.6951446,10
Togo_Savanes,0.6753848,10.6951446,10
Togo_Savanes,0.1254531,10.8753248,10
Togo_Savanes,0.3089285,10.8753248,10
Togo_Savanes,0.4740566,10.8573068,8
Togo_Savanes,0.6758792,10.8753248,10
Togo_Savanes,0.8226596,10.8753248,6
