Region,X coordinate,Y coordinate,Radius
Uruguay_Montevideo,-56.2978378,-34.8086849,5
Uruguay_Montevideo,-56.1331501,-34.8357119,8
Uruguay_Canelones,-55.9794347,-34.7996759,4
Uruguay_Maldonado,-55.2548796,-34.8086849,5
Uruguay_Maldonado,-55.035312,-34.8267029,7
Uruguay_Maldonado,-54.8157444,-34.8267029,7
Uruguay_Maldonado,-54.6620291,-34.7996759,4
Uruguay_San José,-56.7954434,-34.6375137,6
Uruguay_San José,-56.5654,-34.6645407,9
Uruguay_Canelones,-56.3572656,-34.6735497,10
Uruguay_Canelones,-56.1381767,-34.6735497,10
Uruguay_Canelones,-55.9190878,-34.6735497,10
Uruguay_Canelones,-55.6999989,-34.6735497,10
Uruguay_Canelones,-55.48091,-34.6735497,10
Uruguay_Maldonado,-55.2618212,-34.6735497,10
Uruguay_Maldonado,-55.0427323,-34.6735497,10
Uruguay_Maldonado,-54.8236434,-34.6735497,10
Uruguay_Maldonado,-54.6045545,-34.6735497,10
Uruguay_Rocha,-54.4073733,-34.6555317,8
Uruguay_San José,-56.9848278,-34.4663425,7
Uruguay_San José,-56.799002,-34.4933695,10
Uruguay_San José,-56.5803876,-34.4933695,10
Uruguay_Canelones,-56.3617732,-34.4933695,10
Uruguay_Canelones,-56.1431588,-34.4933695,10
Uruguay_Canelones,-55.9245444,-34.4933695,10
Uruguay_Canelones,-55.70593,-34.4933695,10
Uruguay_Lavalleja,-55.4873156,-34.4933695,10
Uruguay_Lavalleja,-55.2687012,-34.4933695,10
Uruguay_Maldonado,-55.0500868,-34.4933695,10
Uruguay_Maldonado,-54.8314724,-34.4933695,10
Uruguay_Maldonado,-54.612858,-34.4933695,10
Uruguay_Rocha,-54.3942436,-34.4933695,10
Uruguay_Rocha,-54.1756292,-34.4933695,10
Uruguay_Rocha,-54.0116566,-34.4483245,5
Uruguay_Colonia,-57.8605316,-34.2861623,7
Uruguay_Colonia,-57.6751056,-34.3131894,10
Uruguay_Colonia,-57.4569615,-34.3131894,10
Uruguay_Colonia,-57.2388174,-34.3131894,10
Uruguay_San José,-57.0206732,-34.3131894,10
Uruguay_San José,-56.8025291,-34.3131894,10
Uruguay_San José,-56.584385,-34.3131894,10
Uruguay_Florida,-56.3662409,-34.3131894,10
Uruguay_Florida,-56.1480968,-34.3131894,10
Uruguay_Canelones,-55.9299527,-34.3131894,10
Uruguay_Canelones,-55.7118085,-34.3131894,10
Uruguay_Lavalleja,-55.4936644,-34.3131894,10
Uruguay_Lavalleja,-55.2755203,-34.3131894,10
Uruguay_Lavalleja,-55.0573762,-34.3131894,10
Uruguay_Lavalleja,-54.8392321,-34.3131894,10
Uruguay_Maldonado,-54.6210879,-34.3131894,10
Uruguay_Rocha,-54.4029438,-34.3131894,10
Uruguay_Rocha,-54.1847997,-34.3131894,10
Uruguay_Rocha,-53.9666556,-34.3131894,10
Uruguay_Rocha,-53.8139372,-34.2591353,4
Uruguay_Colonia,-58.0794448,-34.1059822,7
Uruguay_Colonia,-57.894415,-34.1330092,10
Uruguay_Colonia,-57.676737,-34.1330092,10
Uruguay_Colonia,-57.459059,-34.1330092,10
Uruguay_Colonia,-57.241381,-34.1330092,10
Uruguay_Colonia,-57.023703,-34.1330092,10
Uruguay_San José,-56.806025,-34.1330092,10
Uruguay_San José,-56.588347,-34.1330092,10
Uruguay_Florida,-56.370669,-34.1330092,10
Uruguay_Florida,-56.152991,-34.1330092,10
Uruguay_Florida,-55.935313,-34.1330092,10
Uruguay_Florida,-55.717635,-34.1330092,10
Uruguay_Lavalleja,-55.499957,-34.1330092,10
Uruguay_Lavalleja,-55.282279,-34.1330092,10
Uruguay_Lavalleja,-55.064601,-34.1330092,10
